     6221701           2           2           2
     2582526           9           2           2
     2582527           2           2           2
     2582528           2           2           2
     8147937          24          24          24
     8147937           2           2           2
     8147935           2           2           2
     6543179           2           2           2
     2582517           2           2           2
     2582517           2           2           2
     2582517           2           2           2
     6221746           2           2           2
     6221747           2           2           2
     9077625          13          13          13
     9077625           2           2           2
     8285674          17          17          17
     8285674           2           2           2
     9077600          23          23          23
     9077600           2           2           2
     8887007           2           2           2
     8887007           2           2           2
     8974671           2           2           2
     3017608           2           2           2
     5871805           2           2           2
     6221664          30          30          30
     6221664           2           2           2
     6221665           2           2           2
     6221665           2           2           2
     6221665           2           2           2
     6221665          22          22          22
     9077688           5           5           5
     9077688           3           3           3
     8668841           3           3           3
       70449          12          12          12
       70449           3           3           3
       70450           3           3           3
     8285777           3           3           3
     8285801           3           3           3
     9077694           3           3           3
     8285779           3           3           3
     8285779           3           3           3
     9112071          33          33          33
     9112071           4           4           4
     8656116          36          36          36
     8656116           4           4           4
     8656116          28          28          28
     8656116           4           4           4
     3685088           4           4           4
     8285844           4           4           4
    10386435           4           4           4
     8668981           4           4           4
     9077905           4           4           4
    10386475           4           4           4
     8286032           4           4           4
     8147994           4           4           4
     8961622           4           4           4
     8668960           4           4           4
     8286206           4           4           4
    10386476           4           4           4
     8584635          36          36          36
     6599066           5           5           5
     6599066          28          28          28
     6599066           4           4           4
     6279421           4           4           4
     8669029           4           4           4
     8961619           4           4           4
     8148162           4           4           4
     8887190           4           4           4
     1962843           4           4           4
     8631877           4           4           4
     8584569          29          29          29
     8584569           4           4           4
     8285853           4           4           4
     8285853           4           4           4
     3685124          28          28          28
     3685124           4           4           4
     8668851          41          41          41
     8668851           4           4           4
    10345058           4           4           4
     8887420           4           4           4
     8887420           3           3           3
     8887420           4           4           4
     8887420           4           4           4
     8148188           4           4           4
     9910915           4           4           4
     9910916           4           4           4
     8285857           4           4           4
     8887392          30          30          30
     8887392           4           4           4
     8669088           4           4           4
     8887269          40          40          40
     8887269          30          30          30
     8887269           4           4           4
     6221775          36          36          36
     6221775           4           4           4
      657076           4           4           4
     8795021          27          27          27
     8795022           5           5           5
    10050197          19          19          19
    10050197           5           5           5
      443724           6           6           6
      443724           5           5           5
