,orig_zone,dest_zone,orig_node_index,dest_node_index,person_id,origin_arrival_time,dest_arrival_time,dest_expected_arrival_time,value_of_time,start_time,Activity_Time,hh_id,hh_vehicle_id,shared_ride_flag,pickup_trip_flag,transit_utility,car_utility,orig_traveler,dest_traveler,intrasuperzone_flag,seg_index,veh_seg_index
14,18,20,9,27,6351860,827.9999999999999,828.5999999999999,828.6,0.0792,828.0,14.399999999999977,1845629.0,0.0,0,1,150.0,0.6,6351860,6351860,0,7,1845629.0_7_0.0
16,20,18,10,28,6351860,843.0,847.8,847.8,0.0792,843.0,15.200000000000045,1845629.0,0.0,0,1,150.0,4.8,6351860,6351860,0,7,1845629.0_7_0.0
18,18,17,11,29,6351860,863.0000000000001,864.5000000000001,864.5,0.0792,863.0,113.5,1845629.0,0.0,0,1,150.0,1.5,6351860,6351860,0,7,1845629.0_7_0.0
19,17,18,29,12,0,864.5000000000001,978.0,978.0,0.01,978.0,0.0,1845629.0,0.0,0,0,0.0,2.3,6351860,6351861,0,8,1845629.0_8_0.0
20,18,10,12,30,6351861,978.0,986.7,986.7,0.0792,978.0,5.2999999999999545,1845629.0,0.0,0,1,150.0,8.7,6351861,6351861,0,9,1845629.0_9_0.0
22,10,14,13,31,6351861,992.0,1002.5,1002.5,0.0792,992.0,74.5,1845629.0,0.0,0,1,150.0,10.5,6351861,6351861,0,9,1845629.0_9_0.0
24,14,20,14,32,6351861,1077.0,1083.0,1083.0,0.0792,1077.0,37.0,1845629.0,0.0,0,1,150.0,6.0,6351861,6351861,0,9,1845629.0_9_0.0
26,20,12,15,33,6351861,1120.0,1124.6,1124.6,0.0792,1120.0,5.400000000000091,1845629.0,0.0,0,1,150.0,4.6,6351861,6351861,0,9,1845629.0_9_0.0
28,12,6,16,34,6351861,1124.6,1131.1,1136.5,0.0792,1130.0,5.5,1845629.0,0.0,0,1,150.0,6.5,6351861,6351861,0,9,1845629.0_9_0.0
30,6,20,18,36,6351861,1132.1999999999998,1139.1,1157.9,0.0792,1151.0,282.0999999999999,1845629.0,0.0,0,1,150.0,6.9,6351861,6351861,0,9,1845629.0_9_0.0
31,20,17,36,17,0,1139.1,1142.8,1142.0,0.01,1440.0,0.0,1845629.0,0.0,0,0,0.0,3.7,6351861,6351860,0,10,1845629.0_10_0.0
32,17,20,17,35,6351860,1142.8,1146.3999999999999,1145.6,0.0792,1142.0,5.400000000000091,1845629.0,0.0,0,1,150.0,3.6,6351860,6351860,0,11,1845629.0_11_0.0
0,2,2,1,7,8390809,3.0,3.4,3.4,0.2053,3.0,80.6,2566260.0,0.0,0,1,150.0,0.4,8390809,8390809,0,0,2566260.0_0_0.0
2,2,10,2,8,8390809,84.0,89.9,89.9,0.2053,84.0,397.1,2566260.0,0.0,0,1,150.0,5.9,8390809,8390809,0,1,2566260.0_1_0.0
4,10,5,3,9,8390809,487.0,489.9,489.9,0.2053,487.0,45.10000000000002,2566260.0,0.0,0,1,150.0,2.9,8390809,8390809,0,1,2566260.0_1_0.0
6,5,2,4,10,8390809,535.0,535.5,535.5,0.2053,535.0,148.5,2566260.0,0.0,0,1,150.0,0.5,8390809,8390809,0,1,2566260.0_1_0.0
8,2,5,5,11,8390809,684.0,684.6,684.6,0.2053,684.0,17.399999999999977,2566260.0,0.0,0,1,150.0,0.6,8390809,8390809,0,1,2566260.0_1_0.0
10,5,2,6,12,8390809,702.0,703.1,703.1,0.2053,702.0,736.9,2566260.0,0.0,0,1,150.0,1.1,8390809,8390809,0,1,2566260.0_1_0.0
0,20,17,1,8,10450021,4.0,6.3,6.3,0.2898,4.0,208.7,3863435.0,0.0,0,1,150.0,2.3,10450021,10450021,0,0,3863435.0_0_0.0
2,17,16,2,9,10450021,215.0,215.5,215.5,0.2898,215.0,22.5,3863435.0,0.0,0,1,150.0,0.5,10450021,10450021,0,0,3863435.0_0_0.0
4,16,20,3,10,10450021,238.0,241.3,241.3,0.2898,238.0,145.7,3863435.0,0.0,0,1,150.0,3.3,10450021,10450021,0,0,3863435.0_0_0.0
6,20,2,4,11,10450021,387.0,394.6,394.6,0.2898,387.0,14.399999999999977,3863435.0,0.0,0,1,150.0,7.6,10450021,10450021,0,0,3863435.0_0_0.0
8,2,16,5,12,10450021,409.0,414.0,414.0,0.2898,409.0,433.0,3863435.0,0.0,0,1,150.0,5.0,10450021,10450021,0,0,3863435.0_0_0.0
10,16,9,6,13,10450021,847.0,852.9,852.9,0.2898,847.0,10.100000000000023,3863435.0,0.0,0,1,150.0,5.9,10450021,10450021,0,0,3863435.0_0_0.0
12,9,20,7,14,10450021,863.0,865.9,865.9,0.2898,863.0,574.1,3863435.0,0.0,0,1,150.0,2.9,10450021,10450021,0,0,3863435.0_0_0.0
0,12,1,1,6,5583652,6.0,11.7,11.7,0.0824,6.0,88.3,1667634.0,0.0,0,1,150.0,5.7,5583652,5583652,0,0,1667634.0_0_0.0
2,1,8,2,7,5583652,100.0,103.0,103.0,0.0824,100.0,202.0,1667634.0,0.0,0,1,150.0,3.0,5583652,5583652,0,0,1667634.0_0_0.0
3,8,12,7,3,0,103.0,305.0,305.0,0.01,305.0,0.0,1667634.0,0.0,0,0,0.0,4.9,5583652,5583653,0,1,1667634.0_1_0.0
4,12,8,3,8,5583653,305.0,308.2,308.2,0.0824,305.0,519.8,1667634.0,0.0,0,1,150.0,3.2,5583653,5583653,0,2,1667634.0_2_0.0
5,8,8,8,4,0,308.2,828.0,828.0,0.01,828.0,0.0,1667634.0,0.0,0,0,0.0,2.1,5583653,5583652,0,3,1667634.0_3_0.0
6,8,12,4,9,5583652,828.0,830.6,830.6,0.0824,828.0,65.39999999999998,1667634.0,0.0,0,1,150.0,2.6,5583652,5583652,0,4,1667634.0_4_0.0
7,12,8,9,5,0,830.6,896.0,896.0,0.01,896.0,0.0,1667634.0,0.0,0,0,0.0,3.7,5583652,5583653,0,5,1667634.0_5_0.0
8,8,12,5,10,5583653,896.0,898.6,898.6,0.0824,896.0,541.4,1667634.0,0.0,0,1,150.0,2.6,5583653,5583653,0,6,1667634.0_6_0.0
0,12,11,1,18,6824136,317.0,321.6,321.6,0.2007,317.0,3.3999999999999773,2034509.0,0.0,0,1,150.0,4.6,6824136,6824136,0,0,2034509.0_0_0.0
1,11,12,18,2,0,321.6,325.0,325.0,0.01,325.0,0.0,2034509.0,0.0,0,0,0.0,1.8,6824136,6824137,0,1,2034509.0_1_0.0
2,12,18,2,19,6824137,325.0,329.1,329.1,0.2007,325.0,52.89999999999998,2034509.0,0.0,0,1,150.0,4.1,6824137,6824137,0,2,2034509.0_2_0.0
3,18,12,19,3,0,329.1,382.00000000000006,382.0,0.01,382.0,0.0,2034509.0,0.0,0,0,0.0,6.5,6824137,6824138,0,3,2034509.0_3_0.0
4,12,8,3,20,6824138,382.00000000000006,385.20000000000005,385.2,0.2007,382.0,18.80000000000001,2034509.0,0.0,0,1,150.0,3.2,6824138,6824138,0,4,2034509.0_4_0.0
6,8,4,4,21,6824138,404.0,407.4,407.4,0.2007,404.0,3.6000000000000227,2034509.0,0.0,0,1,150.0,3.4,6824138,6824138,0,4,2034509.0_4_0.0
8,4,12,6,23,6824138,417.30000000000024,424.30000000000024,429.0,0.2007,422.0,4.0,2034509.0,0.0,0,1,150.0,7.0,6824138,6824138,0,4,2034509.0_4_0.0
9,12,11,23,5,0,424.30000000000024,428.90000000000015,411.0,0.01,433.0,0.0,2034509.0,0.0,0,0,0.0,4.6,6824138,6824136,0,5,2034509.0_5_0.0
10,11,8,5,22,6824136,428.90000000000015,430.90000000000015,413.0,0.2007,411.0,9.0,2034509.0,0.0,0,1,150.0,2.0,6824136,6824136,0,6,2034509.0_6_0.0
12,8,12,7,24,6824136,433.0,437.9,437.9,0.2007,433.0,86.10000000000002,2034509.0,0.0,0,1,150.0,4.9,6824136,6824136,0,6,2034509.0_6_0.0
13,12,12,24,8,0,437.9,524.0,524.0,0.01,524.0,0.0,2034509.0,0.0,0,0,0.0,4.4,6824136,6824138,0,7,2034509.0_7_0.0
14,12,5,8,25,6824138,524.0,528.6,528.6,0.2007,524.0,911.4,2034509.0,0.0,0,1,150.0,4.6,6824138,6824138,0,8,2034509.0_8_0.0
0,5,1,9,26,6824138,598.0,600.6,600.6,0.2007,598.0,10.399999999999977,2034509.0,0.0,0,1,150.0,2.6,6824138,6824138,0,8,2034509.0_8_0.0
2,1,5,10,27,6824138,611.0,612.7,612.7,0.2007,611.0,134.29999999999995,2034509.0,0.0,0,1,150.0,1.7,6824138,6824138,0,8,2034509.0_8_0.0
3,5,12,27,11,0,612.7,747.0,747.0,0.01,747.0,0.0,2034509.0,0.0,0,0,0.0,4.3,6824138,6824136,0,9,2034509.0_9_0.0
4,12,5,11,28,6824136,747.0,752.3,752.3,0.2007,747.0,38.700000000000045,2034509.0,0.0,0,1,150.0,5.3,6824136,6824136,0,10,2034509.0_10_0.0
6,5,12,12,29,6824136,791.0,795.3,795.3,0.2007,791.0,72.70000000000005,2034509.0,0.0,0,1,150.0,4.3,6824136,6824136,0,10,2034509.0_10_0.0
7,12,18,29,13,0,795.3,868.0000000000001,868.0,0.01,868.0,0.0,2034509.0,0.0,0,0,0.0,4.6,6824136,6824137,0,11,2034509.0_11_0.0
8,18,16,13,30,6824137,868.0000000000001,872.2000000000002,872.2,0.2007,868.0,20.799999999999955,2034509.0,0.0,0,1,150.0,4.2,6824137,6824137,0,12,2034509.0_12_0.0
10,16,3,14,31,6824137,893.0000000000001,898.3000000000001,898.3,0.2007,893.0,12.700000000000045,2034509.0,0.0,0,1,150.0,5.3,6824137,6824137,0,12,2034509.0_12_0.0
11,3,5,31,15,0,898.3000000000001,911.0,911.0,0.01,911.0,0.0,2034509.0,0.0,0,0,0.0,1.7,6824137,6824138,0,13,2034509.0_13_0.0
12,5,10,15,32,6824138,911.0,917.0,917.0,0.2007,911.0,0.0,2034509.0,0.0,0,1,150.0,6.0,6824138,6824138,0,14,2034509.0_14_0.0
13,10,3,32,16,0,917.0,924.1,916.0,0.01,916.0,0.0,2034509.0,0.0,0,0,0.0,7.1,6824138,6824137,0,15,2034509.0_15_0.0
14,3,12,16,33,6824137,924.1,931.0,922.9,0.2007,916.0,22.100000000000023,2034509.0,0.0,0,1,150.0,6.9,6824137,6824137,0,16,2034509.0_16_0.0
15,12,10,33,17,0,931.0,945.0,945.0,0.01,945.0,0.0,2034509.0,0.0,0,0,0.0,2.3,6824137,6824138,0,17,2034509.0_17_0.0
16,10,12,17,34,6824138,945.0,946.9,946.9,0.2007,945.0,493.1,2034509.0,0.0,0,1,150.0,1.9,6824138,6824138,0,18,2034509.0_18_0.0
0,13,9,1,17,4206013,7.0,12.5,12.5,0.1712,7.0,91.5,1312563.0,0.0,0,1,150.0,5.5,4206013,4206013,0,0,1312563.0_0_0.0
2,9,13,2,18,4206013,104.0,107.1,107.1,0.1712,104.0,30.900000000000006,1312563.0,0.0,0,1,150.0,3.1,4206013,4206013,0,0,1312563.0_0_0.0
4,13,18,3,19,4206013,138.0,141.8,141.8,0.1712,138.0,62.19999999999999,1312563.0,0.0,0,1,150.0,3.8,4206013,4206013,0,0,1312563.0_0_0.0
6,18,13,4,20,4206013,204.0,212.0,212.0,0.1712,204.0,1.0,1312563.0,0.0,0,1,150.0,8.0,4206013,4206013,0,0,1312563.0_0_0.0
8,13,5,5,21,4206013,213.0,217.5,217.5,0.1712,213.0,52.5,1312563.0,0.0,0,1,150.0,4.5,4206013,4206013,0,0,1312563.0_0_0.0
9,5,13,21,6,0,217.5,270.0,270.0,0.01,270.0,0.0,1312563.0,0.0,0,0,0.0,2.6,4206013,4206014,0,1,1312563.0_1_0.0
10,13,20,6,22,4206014,270.0,274.8,274.8,0.1712,270.0,16.19999999999999,1312563.0,0.0,0,1,150.0,4.8,4206014,4206014,0,2,1312563.0_2_0.0
12,20,13,7,23,4206014,291.0,296.4,296.4,0.1712,291.0,213.60000000000002,1312563.0,0.0,0,1,150.0,5.4,4206014,4206014,0,2,1312563.0_2_0.0
14,13,2,8,24,4206014,510.0,515.9,515.9,0.1712,510.0,58.10000000000002,1312563.0,0.0,0,1,150.0,5.9,4206014,4206014,0,2,1312563.0_2_0.0
15,2,5,24,9,0,515.9,574.0,574.0,0.01,574.0,0.0,1312563.0,0.0,0,0,0.0,0.5,4206014,4206013,0,3,1312563.0_3_0.0
16,5,2,9,25,4206013,574.0,574.5,574.5,0.1712,574.0,17.5,1312563.0,0.0,0,1,150.0,0.5,4206013,4206013,0,4,1312563.0_4_0.0
17,2,2,25,10,0,574.5,592.0,592.0,0.01,592.0,0.0,1312563.0,0.0,0,0,0.0,0.4,4206013,4206014,0,5,1312563.0_5_0.0
18,2,13,10,26,4206014,592.0,595.8,595.8,0.1712,592.0,33.200000000000045,1312563.0,0.0,0,1,150.0,3.8,4206014,4206014,0,6,1312563.0_6_0.0
19,13,2,26,11,0,595.8,629.0,629.0,0.01,629.0,0.0,1312563.0,0.0,0,0,0.0,6.2,4206014,4206013,0,7,1312563.0_7_0.0
20,2,5,11,27,4206013,629.0,629.5,629.5,0.1712,629.0,810.5,1312563.0,0.0,0,1,150.0,0.5,4206013,4206013,0,8,1312563.0_8_0.0
0,5,13,12,28,4206013,989.0,991.7,991.7,0.1712,989.0,24.299999999999955,1312563.0,0.0,0,1,150.0,2.7,4206013,4206013,0,8,1312563.0_8_0.0
2,13,9,13,29,4206013,1016.0,1021.3,1021.3,0.1712,1016.0,70.70000000000005,1312563.0,0.0,0,1,150.0,5.3,4206013,4206013,0,8,1312563.0_8_0.0
4,9,13,14,30,4206013,1092.0,1098.4,1098.4,0.1712,1092.0,101.59999999999991,1312563.0,0.0,0,1,150.0,6.4,4206013,4206013,0,8,1312563.0_8_0.0
6,13,2,15,31,4206013,1200.0,1207.5,1207.5,0.1712,1200.0,31.5,1312563.0,0.0,0,1,150.0,7.5,4206013,4206013,0,8,1312563.0_8_0.0
8,2,13,16,32,4206013,1239.0,1243.2,1243.2,0.1712,1239.0,196.79999999999995,1312563.0,0.0,0,1,150.0,4.2,4206013,4206013,0,8,1312563.0_8_0.0
0,4,2,1,6,3751964,14.0,17.3,17.3,0.032,14.0,758.7,1113661.0,0.0,0,1,150.0,3.3,3751964,3751964,0,0,1113661.0_0_0.0
