  57 TAZ
 144 NTI
  1 1.00    0.00     9.5   7.349
  1 1.00    0.00     9.5   7.349
  1 1.00    0.00     9.5   7.349
  1 1.00    0.00     9.5   7.349
  1 1.00    0.00     9.4   7.349
  1 1.00    0.00     9.5   7.349
  1 1.00    0.00     9.5   7.349
  1 1.00    0.00     9.5   7.349
  1 1.00    0.00     9.5   7.349
  1 1.00    0.00     9.6   7.349
  1 1.00    0.00     9.7   7.349
  1 1.00    0.00     9.8   7.349
  1 1.00    0.00     9.9   7.349
  1 1.00    0.00    10.1   7.349
  1 1.00    0.00    10.3   7.349
  1 1.00    0.00    10.4   7.349
  1 1.00    0.00    11.1   7.579
  1 1.00    0.00    10.9   7.349
  1 1.00    0.00    10.8   7.349
  1 1.00    0.00    11.3   7.349
  1 1.00    0.00    11.2   7.579
  1 1.00    0.00    10.7   7.349
  1 1.00    0.00    11.2   7.349
  1 1.00    0.00    11.6   8.059
  1 1.00    0.00    11.2   7.349
  1 1.00    0.00    11.6   8.059
  1 1.00    0.00    11.4   7.349
  1 1.00    0.00    11.3   7.349
  1 1.00    0.00    11.8   7.349
  1 1.00    0.00    11.7   7.579
  1 1.00    0.00    12.2   7.939
  1 1.00    0.00    11.6   7.349
  1 1.00    0.00    12.1   7.579
  1 1.00    0.00    11.8   7.409
  1 1.00    0.00    12.0   8.059
  1 1.00    0.00    12.0   8.059
  1 1.00    0.00    11.9   8.059
  1 1.00    0.00    11.3   8.219
  1 1.00    0.00    11.0   7.349
  1 1.00    0.00    11.8   7.349
  1 1.00    0.00    11.4   7.599
  1 1.00    0.00    11.2   7.768
  1 1.00    0.00    10.6   7.349
  1 1.00    0.00    10.2   7.349
  1 1.00    0.00    10.4   7.349
  1 1.00    0.00    10.5   7.349
  1 1.00    0.00    10.4   7.349
  1 1.00    0.00    10.3   7.349
  1 1.00    0.00    10.5   7.349
  1 1.00    0.00    10.6   7.349
  1 1.00    0.00    10.9   7.349
  1 1.00    0.00    10.5   7.349
  1 1.00    0.00    10.3   7.349
  1 1.00    0.00    10.8   7.349
  1 1.00    0.00    11.3   7.579
  1 1.00    0.00    10.8   7.349
  1 1.00    0.00    10.5   7.349
  1 1.00    0.00    10.3   7.349
  1 1.00    0.00    11.0   7.349
  1 1.00    0.00    10.7   7.349
  1 1.00    0.00    10.9   7.349
  1 1.00    0.00    11.6   7.349
  1 1.00    0.00    12.0   7.768
  1 1.00    0.00    11.4   7.349
  1 1.00    0.00    12.4   7.349
  1 1.00    0.00    12.7   7.349
  1 1.00    0.00    13.0   8.219
  1 1.00    0.00    12.5   7.349
  1 1.00    0.00    12.5   7.349
  1 1.00    0.00    12.8   7.349
  1 1.00    0.00    13.4   8.059
  1 1.00    0.00    13.4   8.202
  1 1.00    0.00    14.2   7.962
  1 1.00    0.00    15.0   8.949
  1 1.00    0.00    14.3   8.529
  1 1.00    0.00    14.4   8.459
  1 1.00    0.00    14.2   7.588
  1 1.00    0.00    13.8   8.219
  1 1.00    0.00    13.4   8.638
  1 1.00    0.00    12.7   8.219
  1 1.00    0.00    13.0   8.929
  1 1.00    0.00    12.6   8.059
  1 1.00    0.00    13.7   8.586
  1 1.00    0.00    14.1   9.456
  1 1.00    0.00    13.2   8.929
  1 1.00    0.00    13.3   8.929
  1 1.00    0.00    13.1   8.929
  1 1.00    0.00    13.0   8.049
  1 1.00    0.00    12.9   8.069
  1 1.00    0.00    12.7   8.079
  1 1.00    0.00    12.5   8.929
  1 1.00    0.00    11.9   8.059
  1 1.00    0.00    11.7   7.962
  1 1.00    0.00    11.6   8.059
  1 1.00    0.00    11.6   8.059
