  57 TAZ
  72 NTI
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.3  11.179
  1 1.00    0.00     6.4  11.179
  1 1.00    0.00     6.5  11.179
  1 1.00    0.00     6.5  11.179
  1 1.00    0.00     6.7  11.179
  1 1.00    0.00     6.8  11.179
  1 1.00    0.00     7.0  11.179
  1 1.00    0.00     6.8  11.179
  1 1.00    0.00     6.8  11.179
  1 1.00    0.00     6.8  11.179
  1 1.00    0.00     6.8  11.179
  1 1.00    0.00     6.8  11.179
  1 1.00    0.00     6.8  11.179
  1 1.00    0.00     6.7  11.179
  1 1.00    0.00     7.1  11.179
  1 1.00    0.00     6.7  11.179
  1 1.00    0.00     6.6  11.179
  1 1.00    0.00     6.5  11.179
  1 1.00    0.00     6.6  11.179
  1 1.00    0.00     6.6  11.179
  1 1.00    0.00     6.7  11.179
  1 1.00    0.00     6.6  11.179
  1 1.00    0.00     6.6  11.179
  1 1.00    0.00     6.6  11.179
  1 1.00    0.00     6.6  11.179
  1 1.00    0.00     6.8  11.179
  1 1.00    0.00     6.8  11.179
  1 1.00    0.00     6.9  11.179
  1 1.00    0.00     6.9  11.179
  1 1.00    0.00     7.1  11.179
  1 1.00    0.00     7.2  11.179
  1 1.00    0.00     7.0  11.179
  1 1.00    0.00     7.0  11.179
  1 1.00    0.00     7.0  11.179
  1 1.00    0.00     7.1  11.179
  1 1.00    0.00     7.0  11.179
  1 1.00    0.00     8.9  12.478
  1 1.00    0.00     8.3  11.419
  1 1.00    0.00     6.9  11.179
  1 1.00    0.00     6.9  11.179
  1 1.00    0.00     6.7  11.179
  1 1.00    0.00     6.6  11.179
  1 1.00    0.00     6.6  11.179
  1 1.00    0.00     6.5  11.179
  1 1.00    0.00     6.5  11.179
  1 1.00    0.00     6.4  11.179
  1 1.00    0.00     6.4  11.179
  1 1.00    0.00     6.4  11.179
  1 1.00    0.00     6.4  11.179
  1 1.00    0.00     6.3  11.179
  1 1.00    0.00     6.3  11.179
  1 1.00    0.00     6.3  11.179
  1 1.00    0.00     6.3  11.179
  1 1.00    0.00     6.3  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  1 1.00    0.00     6.2  11.179
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.4   5.040 1.00    0.00     5.1   4.760
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.4  10.079 1.00    0.00     5.1   4.760
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.4  10.079 1.00    0.00     5.1   9.519
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.4   5.040 1.00    0.00     5.1   4.760
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.4  10.079 1.00    0.00     5.1   4.760
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.4  10.079 1.00    0.00     5.1   9.519
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.4   5.040 1.00    0.00     5.1   4.760
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.4  10.079 1.00    0.00     5.1   4.760
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.4  10.079 1.00    0.00     5.1   9.519
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.4   5.040 1.00    0.00     5.1   4.760
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.4  10.079 1.00    0.00     5.1   4.760
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.4  10.079 1.00    0.00     5.1   9.519
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.5   5.040 1.00    0.00     5.1   4.760
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.5  10.079 1.00    0.00     5.1   4.760
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.5  10.079 1.00    0.00     5.1   9.519
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.5   5.040 1.00    0.00     5.1   4.760
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.5  10.079 1.00    0.00     5.1   4.760
  3 0.43    0.00     5.1   9.519 0.63    0.00     5.5  10.079 1.00    0.00     5.1   9.519
  3 0.43    0.00     5.2   9.519 0.63    0.00     5.6   5.040 1.00    0.00     5.2   4.760
  3 0.43    0.00     5.2   9.519 0.63    0.00     5.6  10.079 1.00    0.00     5.2   4.760
  3 0.43    0.00     5.2   9.519 0.63    0.00     5.6  10.079 1.00    0.00     5.2   9.519
  3 0.43    0.00     5.3   9.519 0.63    0.00     5.7   5.040 1.00    0.00     5.3   4.760
  3 0.43    0.00     5.3   9.519 0.63    0.00     5.7  10.079 1.00    0.00     5.3   4.760
  3 0.43    0.00     5.3   9.519 0.63    0.00     5.7  10.079 1.00    0.00     5.3   9.519
  3 0.43    0.00     5.3   9.519 0.63    0.00     5.8   5.040 1.00    0.00     5.3   4.760
  3 0.43    0.00     5.3   9.519 0.63    0.00     5.8  10.079 1.00    0.00     5.3   4.760
  3 0.43    0.00     5.3   9.519 0.63    0.00     5.8  10.079 1.00    0.00     5.3   9.519
