  57 TAZ
  72 NTI
  1 1.00    0.00    10.2   8.439
  1 1.00    0.00    10.3   8.439
  1 1.00    0.00    10.4   8.439
  1 1.00    0.00    10.7   8.439
  1 1.00    0.00    10.8   8.376
  1 1.00    0.00    10.9   8.439
  1 1.00    0.00    11.2   8.636
  1 1.00    0.00    11.3   8.636
  1 1.00    0.00    11.4   8.636
  1 1.00    0.00    11.7   8.636
  1 1.00    0.00    11.9   8.439
  1 1.00    0.00    11.6   8.439
  1 1.00    0.00    12.2   8.376
  1 1.00    0.00    12.2   8.376
  1 1.00    0.00    11.8   8.732
  1 1.00    0.00    11.9   8.439
  1 1.00    0.00    11.7   8.636
  1 1.00    0.00    11.5   8.439
  1 1.00    0.00    11.6   8.636
  1 1.00    0.00    12.0   8.569
  1 1.00    0.00    11.0   8.439
  1 1.00    0.00    10.9   8.439
  1 1.00    0.00    10.9   8.439
  1 1.00    0.00    11.4   8.439
  1 1.00    0.00    11.0   8.439
  1 1.00    0.00    11.4   8.439
  1 1.00    0.00    11.3   8.439
  1 1.00    0.00    11.6   8.439
  1 1.00    0.00    11.8   8.439
  1 1.00    0.00    11.8   8.439
  1 1.00    0.00    12.5   8.636
  1 1.00    0.00    12.8   8.669
  1 1.00    0.00    13.0   8.636
  1 1.00    0.00    13.0   8.439
  1 1.00    0.00    12.7   8.439
  1 1.00    0.00    12.7   8.636
  1 1.00    0.00    13.7   8.799
  1 1.00    0.00    13.5   8.799
  1 1.00    0.00    13.5   8.529
  1 1.00    0.00    13.5   8.636
  1 1.00    0.00    13.7   9.408
  1 1.00    0.00    13.0   8.669
  1 1.00    0.00    11.9   8.439
  1 1.00    0.00    12.4   8.988
  1 1.00    0.00    11.2   8.439
  1 1.00    0.00    11.1   8.439
  1 1.00    0.00    10.9   8.439
  1 1.00    0.00    10.6   8.439
  1 1.00    0.00    10.6   8.439
  1 1.00    0.00    10.5   8.439
  1 1.00    0.00    10.4   8.439
  1 1.00    0.00    10.4   8.439
  1 1.00    0.00    10.3   8.439
  1 1.00    0.00    10.3   8.439
  1 1.00    0.00    10.2   8.439
  1 1.00    0.00    10.2   8.439
  1 1.00    0.00    10.1   8.439
  1 1.00    0.00    10.1   8.439
  1 1.00    0.00    10.1   8.439
  1 1.00    0.00    10.0   8.439
  1 1.00    0.00    10.0   8.439
  1 1.00    0.00    10.0   8.439
  1 1.00    0.00    10.0   8.439
  1 1.00    0.00    10.0   8.439
  1 1.00    0.00    10.0   8.439
  1 1.00    0.00    10.0   8.439
  1 1.00    0.00    10.1   8.439
  1 1.00    0.00    10.1   8.439
  1 1.00    0.00    10.1   8.439
  1 1.00    0.00    10.1   8.439
  1 1.00    0.00    10.1   8.439
  1 1.00    0.00    10.1   8.439
  1 1.00    0.00     9.1   7.629
  1 1.00    0.00     9.1   7.629
  1 1.00    0.00     9.2   7.629
  1 1.00    0.00     9.3   7.629
  1 1.00    0.00     9.6   7.629
  1 1.00    0.00     9.7   7.566
  1 1.00    0.00     9.8   7.629
  1 1.00    0.00    10.1   7.826
  1 1.00    0.00    10.2   7.826
  1 1.00    0.00    10.2   7.826
  1 1.00    0.00    10.4   7.826
  1 1.00    0.00    10.6   7.629
  1 1.00    0.00    10.4   7.629
  1 1.00    0.00    11.0   7.566
  1 1.00    0.00    11.0   7.566
  1 1.00    0.00    10.6   7.922
  1 1.00    0.00    10.7   7.629
  1 1.00    0.00    10.5   7.826
  1 1.00    0.00    10.3   7.629
  1 1.00    0.00    10.3   7.826
  1 1.00    0.00    10.0   7.629
  1 1.00    0.00     9.8   7.629
  1 1.00    0.00     9.7   7.629
  1 1.00    0.00     9.7   7.629
  1 1.00    0.00    10.3   7.629
  1 1.00    0.00     9.9   7.629
  1 1.00    0.00    10.2   7.629
  1 1.00    0.00    10.2   7.629
  1 1.00    0.00    10.5   7.629
  1 1.00    0.00    10.6   7.629
  1 1.00    0.00    10.7   7.629
  1 1.00    0.00    11.3   7.826
  1 1.00    0.00    11.7   7.859
  1 1.00    0.00    11.8   7.826
  1 1.00    0.00    11.2   7.629
  1 1.00    0.00    11.3   7.629
  1 1.00    0.00    11.2   7.826
  1 1.00    0.00    11.7   7.859
  1 1.00    0.00    11.4   7.859
  1 1.00    0.00    12.0   7.719
  1 1.00    0.00    12.0   7.826
  1 1.00    0.00    12.5   7.656
  1 1.00    0.00    11.3   7.859
  1 1.00    0.00    10.3   7.629
  1 1.00    0.00    10.6   7.859
  1 1.00    0.00     9.9   7.629
  1 1.00    0.00     9.8   7.629
  1 1.00    0.00     9.6   7.629
  1 1.00    0.00     9.5   7.629
  1 1.00    0.00     9.4   7.629
  1 1.00    0.00     9.3   7.629
  1 1.00    0.00     9.2   7.629
  1 1.00    0.00     9.3   7.629
  1 1.00    0.00     9.2   7.629
  1 1.00    0.00     9.1   7.629
  1 1.00    0.00     9.1   7.629
  1 1.00    0.00     9.0   7.629
  1 1.00    0.00     9.0   7.629
  1 1.00    0.00     9.0   7.629
  1 1.00    0.00     8.9   7.629
  1 1.00    0.00     8.9   7.629
  1 1.00    0.00     8.9   7.629
  1 1.00    0.00     8.9   7.629
  1 1.00    0.00     8.9   7.629
  1 1.00    0.00     8.9   7.629
  1 1.00    0.00     8.9   7.629
  1 1.00    0.00     8.8   7.629
  1 1.00    0.00     9.0   7.629
  1 1.00    0.00     9.0   7.629
