hh_id,tour_id,stop_id,inbound,tour_purpose,orig_purpose,dest_purpose,orig_maz,orig_walk_segment,orig_park_maz,dest_maz,dest_walk_segment,parking_taz,stop_period,trip_mode,num_participants,tour_mode,tour_category,board_tap,alight_tap,orig_taz,dest_taz,orig_park_taz,dest_park_taz,driver,TripStartTime,TripActivityTime
151704,0,-1,0,maintenance,Home,maintenance,1,0,0,2,0,0,6,7,2,7,JOINT_NON_MANDATORY,0,0,1,1,0,0,-1,242,5
151704,0,-1,1,maintenance,maintenance,Home,2,0,0,1,0,0,6,7,2,7,JOINT_NON_MANDATORY,0,0,1,1,0,0,-1,259,436
1738006,0,-1,0,eatingout,Home,eatingout,1,0,0,2,0,0,31,7,3,7,JOINT_NON_MANDATORY,0,0,1,1,0,0,-1,1008,40
1738006,0,-1,1,eatingout,eatingout,Home,2,0,0,1,0,0,33,7,3,7,JOINT_NON_MANDATORY,0,0,1,1,0,0,-1,1058,368
2237241,0,-1,0,maintenance,Home,maintenance,1,0,0,17,0,0,31,5,5,5,JOINT_NON_MANDATORY,0,0,1,5,0,0,1,993,13
2237241,0,-1,1,maintenance,maintenance,Home,17,0,0,1,0,0,31,5,5,5,JOINT_NON_MANDATORY,0,0,5,1,0,0,1,1008,428
2237241,1,-1,0,discretionary,Home,discretionary,1,0,0,14,0,0,28,8,4,8,JOINT_NON_MANDATORY,0,0,1,4,0,0,-1,916,5
2237241,1,-1,1,discretionary,discretionary,Home,14,0,0,1,0,0,29,8,4,8,JOINT_NON_MANDATORY,0,0,4,1,0,0,-1,932,44
3474563,0,-1,0,discretionary,Home,discretionary,1,0,0,45,0,0,29,5,3,5,JOINT_NON_MANDATORY,0,0,1,12,0,0,2,932,127
3474563,0,-1,1,discretionary,discretionary,Home,45,0,0,1,0,0,33,5,3,5,JOINT_NON_MANDATORY,0,0,12,1,0,0,2,1065,367
3474563,1,-1,0,eatingout,Home,eatingout,1,0,0,71,0,0,4,5,4,13,JOINT_NON_MANDATORY,0,0,1,18,0,0,-1,183,13
3474563,1,-1,1,eatingout,eatingout,Home,71,0,0,1,0,0,4,13,4,13,JOINT_NON_MANDATORY,0,0,18,1,0,0,-1,204,721
1113284,0,-1,0,maintenance,Home,maintenance,1,0,0,7,0,0,33,3,2,3,JOINT_NON_MANDATORY,0,0,1,2,0,0,2,1081,144
1113284,0,-1,1,maintenance,maintenance,Home,7,0,0,1,0,0,38,3,2,3,JOINT_NON_MANDATORY,0,0,2,1,0,0,2,1226,213
2101388,0,-1,0,discretionary,Home,discretionary,1,0,0,71,0,0,29,5,4,5,JOINT_NON_MANDATORY,0,0,1,18,0,0,1,950,64
2101388,0,-1,1,discretionary,discretionary,Home,71,0,0,1,0,0,32,5,4,5,JOINT_NON_MANDATORY,0,0,18,1,0,0,1,1025,404
3044504,0,-1,0,visiting,Home,visiting,1,0,0,18,0,0,30,8,2,8,JOINT_NON_MANDATORY,0,0,1,5,0,0,-1,969,183
3044504,0,-1,1,visiting,visiting,Home,18,0,0,1,0,0,37,8,2,8,JOINT_NON_MANDATORY,0,0,5,1,0,0,-1,1171,253
483940,0,-1,0,maintenance,Home,maintenance,1,0,0,20,0,0,12,5,4,5,JOINT_NON_MANDATORY,0,0,1,5,0,0,1,433,226
483940,0,-1,1,maintenance,maintenance,Home,20,0,0,1,0,0,20,5,4,5,JOINT_NON_MANDATORY,0,0,5,1,0,0,1,662,776
483940,1,-1,0,discretionary,Home,discretionary,1,0,0,4,0,0,5,3,2,3,JOINT_NON_MANDATORY,0,0,1,1,0,0,1,222,156
483940,1,-1,1,discretionary,discretionary,Home,4,0,0,1,0,0,10,3,2,3,JOINT_NON_MANDATORY,0,0,1,1,0,0,1,379,53
2034179,0,-1,0,maintenance,Home,maintenance,1,0,0,27,0,0,7,5,3,5,JOINT_NON_MANDATORY,0,0,1,7,0,0,2,300,17
2034179,0,-1,1,maintenance,maintenance,Home,27,0,0,1,0,0,8,5,3,5,JOINT_NON_MANDATORY,0,0,7,1,0,0,2,321,23
1113232,0,-1,0,discretionary,Home,discretionary,1,0,0,41,0,0,31,3,2,3,JOINT_NON_MANDATORY,0,0,1,11,0,0,2,1003,279
1113232,0,-1,1,discretionary,discretionary,Home,41,0,0,1,0,0,40,3,2,3,JOINT_NON_MANDATORY,0,0,11,1,0,0,2,1291,141
241399,0,-1,0,maintenance,Home,maintenance,1,0,0,7,0,0,7,3,2,3,JOINT_NON_MANDATORY,0,0,1,2,0,0,1,280,5
