    1   12    0
   9674   9673  0.000
   9674   9675  0.000
   9674   9737  0.000
   9675   9674  0.000
   9675   9738  0.000
   9737   9674  0.000
   9737   9736  0.000
   9737   9738  0.000
   9737   9865  0.000
   9738   9675  0.000
   9738   9737  0.000
   9738   9866  0.000

    2    9    0
   9865   9737  0.000
   9865   9864  0.000
   9865   9866  0.000
   9866   9738  0.000
   9866   9865  0.000
   9866  10058  0.000
  10058   9866  0.000
  10058  10057  0.000
  10058  10108  0.000

    3    2    0
  10108  10058  0.000
  10108  10107  0.000

    4   23    0
   9504   9505  0.000
   9504   9622  0.000
   9505   9504  0.000
   9505   9623  0.000
   9621   9620  0.000
   9621   9622  0.000
   9621   9735  0.000
   9622   9504  0.000
   9622   9621  0.000
   9622   9623  0.000
   9623   9505  0.000
   9623   9622  0.000
   9623   9673  0.000
   9673   9623  0.000
   9673   9674  0.000
   9673   9736  0.000
   9735   9621  0.000
   9735   9734  0.000
   9735   9736  0.000
   9736   9673  0.000
   9736   9735  0.000
   9736   9737  0.000
   9736   9864  0.000

    5   15    0
   9863   9862  0.000
   9863   9864  0.000
   9863  10056  0.000
   9864   9736  0.000
   9864   9863  0.000
   9864   9865  0.000
   9864  10057  0.000
  10056   9863  0.000
  10056  10021  0.000
  10056  10057  0.000
  10056  10094  0.000
  10057   9864  0.000
  10057  10056  0.000
  10057  10058  0.000
  10057  10107  0.000

    6   15    0
  10094  10056  0.000
  10094  10144  0.000
  10107  10057  0.000
  10107  10108  0.000
  10107  10297  0.000
  10144  10094  0.000
  10144  10337  0.000
  10297  10107  0.000
  10297  10400  0.000
  10338  10337  0.000
  10338  10339  0.000
  10338  10444  0.000
  10339  10338  0.000
  10339  10439  0.000
  10339  10445  0.000

    7   17    0
   9511   9733  0.000
   9620   9621  0.000
   9620   9734  0.000
   9728   9614  0.000
   9728   9731  0.000
   9728   9732  0.000
   9732   9728  0.000
   9732   9733  0.000
   9732   9886  0.000
   9733   9511  0.000
   9733   9732  0.000
   9733   9734  0.000
   9733   9861  0.000
   9734   9620  0.000
   9734   9733  0.000
   9734   9735  0.000
   9734   9862  0.000

    8   29    0
   9861   9733  0.000
   9861   9862  0.000
   9861   9886  0.000
   9861   9900  0.000
   9862   9734  0.000
   9862   9861  0.000
   9862   9863  0.000
   9862  10021  0.000
   9886   9732  0.000
   9886   9861  0.000
   9886   9906  0.000
   9900   9861  0.000
   9900   9993  0.000
   9906   9886  0.000
   9906   9957  0.000
   9957   9906  0.000
   9957   9981  0.000
   9981   9957  0.000
   9981  10013  0.000
   9981  10147  0.000
   9993   9900  0.000
   9993  10013  0.000
  10013   9981  0.000
  10013   9993  0.000
  10013  10021  0.000
  10013  10336  0.000
  10021   9862  0.000
  10021  10013  0.000
  10021  10056  0.000

    9    4    0
  10337  10144  0.000
  10337  10336  0.000
  10337  10338  0.000
  10337  10443  0.000

   10   12    0
   9503   9519  0.000
   9503   9613  0.000
   9511   9519  0.000
   9519   9503  0.000
   9519   9511  0.000
   9519   9614  0.000
   9613   9503  0.000
   9613   9614  0.000
   9613   9731  0.000
   9614   9519  0.000
   9614   9613  0.000
   9614   9728  0.000

   11    2    0
   9731   9613  0.000
   9731   9728  0.000

   12    6    0
  10147   9981  0.000
  10147  10323  0.000
  10147  10335  0.000
  10323  10147  0.000
  10323  10335  0.000
  10323  10392  0.000

   13    6    0
  10400  10297  0.000
  10400  10440  0.000
  10436  10446  0.000
  10446  10436  0.000
  10446  10440  0.000
  10446  10597  0.000

   14   11    0
  10596  10440  0.000
  10596  10592  0.000
  10596  10597  0.000
  10596  10639  0.000
  10597  10446  0.000
  10597  10596  0.000
  10597  10598  0.000
  10597  10639  0.000
  10598  10597  0.000
  10598  10759  0.000
  10759  10598  0.000

   15   22    0
  10439  10339  0.000
  10439  10440  0.000
  10439  10445  0.000
  10440  10400  0.000
  10440  10439  0.000
  10440  10446  0.000
  10440  10596  0.000
  10444  10338  0.000
  10444  10443  0.000
  10444  10445  0.000
  10444  10542  0.000
  10445  10339  0.000
  10445  10439  0.000
  10445  10444  0.000
  10445  10543  0.000
  10542  10444  0.000
  10542  10541  0.000
  10542  10543  0.000
  10542  10591  0.000
  10543  10445  0.000
  10543  10542  0.000
  10543  10592  0.000

   16   20    0
  10591  10542  0.000
  10591  10592  0.000
  10591  10595  0.000
  10591  10710  0.000
  10592  10543  0.000
  10592  10591  0.000
  10592  10596  0.000
  10592  10711  0.000
  10639  10596  0.000
  10639  10597  0.000
  10639  10716  0.000
  10711  10592  0.000
  10711  10710  0.000
  10711  10716  0.000
  10716  10639  0.000
  10716  10711  0.000
  10716  10750  0.000
  10716  10757  0.000
  10750  10716  0.000
  10757  10716  0.000

   17   22    0
  10335  10147  0.000
  10335  10323  0.000
  10335  10336  0.000
  10336  10013  0.000
  10336  10335  0.000
  10336  10337  0.000
  10336  10492  0.000
  10443  10337  0.000
  10443  10444  0.000
  10443  10492  0.000
  10492  10336  0.000
  10492  10443  0.000
  10492  10540  0.000
  10492  10541  0.000
  10540  10492  0.000
  10540  10539  0.000
  10540  10541  0.000
  10540  10594  0.000
  10541  10492  0.000
  10541  10540  0.000
  10541  10542  0.000
  10541  10595  0.000

   18   21    0
  10594  10540  0.000
  10594  10595  0.000
  10594  10613  0.000
  10594  10646  0.000
  10595  10541  0.000
  10595  10591  0.000
  10595  10594  0.000
  10595  10709  0.000
  10613  10594  0.000
  10646  10594  0.000
  10646  10707  0.000
  10646  10708  0.000
  10708  10646  0.000
  10708  10707  0.000
  10708  10709  0.000
  10709  10595  0.000
  10709  10708  0.000
  10709  10710  0.000
  10710  10591  0.000
  10710  10709  0.000
  10710  10711  0.000

   19    8    0
  10392  10323  0.000
  10392  10539  0.000
  10539  10392  0.000
  10539  10540  0.000
  10539  10580  0.000
  10580  10539  0.000
  10580  10613  0.000
  10613  10580  0.000

   20    8    0
  10613  10762  0.000
  10707  10646  0.000
  10707  10708  0.000
  10707  10772  0.000
  10762  10613  0.000
  10762  10772  0.000
  10772  10707  0.000
  10772  10762  0.000

   21    1    0
      1   9503  0.000 
      
   22	 1    0
      2   9511	0.000
      
   23    1    0
      3   9504  0.000
      
   24    1    0
      4   9505  0.000
      
   25    1    0
      5   9505  0.000
      
   26    1    0
      6   9674	0.000
      
   27    1    0
      7   9675	0.000
      
   28    1    0
      8   9504  0.000
   
   29    1    0
      9   9511  0.000
      
   30    1    0
     10   9620	0.000
     
   31    1    0  
     11   9675  0.000
     
   32    1    0
     12   9731	0.000
     
   33    1    0
     13   9866	0.000
     
   34    1    0
     14   9731	0.000
     
   35    1    0
     15   9886  0.000
     
   36    1    0
     16   9952  0.000
     
   37    1    0
     17   9981	0.000
     
   38    1    0
     18  10108	0.000
     
   39    1    0
     19  10359	0.000
     
   40    1    0
     20  10436	0.000
     
   41    1    0
     21  10392	0.000
     
   42    1    0
     22  10580  0.000
     
   43    1    0
     23  10436  0.000
     
   44    1    0
     24  10598	0.000
    
   45    1    0
     25  10598	0.000
   
   46    1    0
     26  10613	0.000
     
   47    1    0
     27  10639  0.000
     
   48    1    0
     28  10757	0.000
     
   49    1    0
     29  10759	0.000
