           1
         145
   1440.000    
         100
          50
 
           1
           1           1        9503           5   1.079798    
           3           2        9511           5   1.159090    
           5           3        9504           5  0.8068184    
           7           4        9505           5  0.6857147    
           9           5        9505           5  0.8863629    
          11           6        9674           5   1.229828    
          13           7        9675           5   1.063532    
          15           8        9504           5   1.009040    
          17           9        9511           5  0.8997934    
          19          10        9620           5  0.8571423    
          21          11        9675           5   1.724716    
          23          12        9731           5   1.243904    
          25          13        9866           5   1.775909    
          27          14        9731           5  0.8666666    
          29          15        9886           5   2.000000    
          31          16        9952           1   1.262550    
          32          17        9981           5   3.103451    
          34          18       10108           5   2.674026    
          36          19       10359           1  0.6914485    
          37          20       10436           5  0.6666670    
          39          21       10392           5  0.5725718    
          41          22       10580           5   1.540804    
          43          23       10436           5  0.5376170    
          45          24       10598           5   1.303291    
          47          25       10598           5  0.5464641    
          49          26       10613           5  0.7771178    
          51          27       10639           5  0.7226249    
          53          28       10757           5  0.5376170    
          55          29       10759           5   2.048199    
          57          30       10711           5  0.6618345    
          59          31       10750           5  0.2000000    
          61          32       10759           5  0.4770139    
          63          33       10759           5  0.2861572    
          65          34       10708           5   1.062662    
          67          35       10709           5  0.8181816    
          69          36       10762           5  0.3954025    
          71          37       10772           5  0.5454550    
          73        9501          16           1   1.262550    
          75        9502          19           1  0.6914485    
          77        9503           1           5   1.079798    
          78        9503        9519           5  0.2666665    
          79        9503        9613           5  0.7065658    
          81        9504           3           5  0.8068184    
          82        9504           8           5   1.009040    
          83        9504        9505           5  0.3410560    
          84        9504        9622           5   1.021086    
          86        9505           4           5  0.6857147    
          87        9505           5           5  0.8863629    
          88        9505        9504           5  0.3409094    
          89        9505        9623           5  0.8443989    
          91        9511           2           5   1.159090    
          92        9511           9           5  0.8997934    
          93        9511        9519           5   1.090910    
          94        9511        9733           5   1.340006    
          96        9519        9503           5  0.2666665    
          97        9519        9511           5   1.090910    
          98        9519        9614           5  0.6271089    
         100        9613        9503           5  0.7069919    
         101        9613        9614           5  0.5223364    
         102        9613        9731           5  0.7464646    
         104        9614        9519           5  0.6265147    
