hh_id,tour_id,tour_category,tour_purpose,tour_composition,tour_participants,orig_maz,orig_walk_segment,dest_maz,dest_walk_segment,depart_period,arrive_period,tour_mode,num_ob_stops,num_ib_stops,driver,util_1,util_2,util_3,util_4,util_5,util_6,util_7,util_8,util_9,util_10,util_11,util_12,util_13,util_14,util_15,util_16,util_17,util_18,util_19,util_20,util_21,util_22,util_23,util_24,util_25,util_26,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17,prob_18,prob_19,prob_20,prob_21,prob_22,prob_23,prob_24,prob_25,prob_26
1486526,0,JOINT_NON_MANDATORY,shop,3,1 4,19,0,20,0,32,35,3,1,1,1,-1998.280640,-999.000000,-2.180186,-999.000000,-2.805062,-999.000000,-4.315522,-6.772918,-999.000000,-999.000000,-999.000000,-999.000000,-10.211100,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.613478,0.000000,0.306384,0.000000,0.075038,0.004892,0.000000,0.000000,0.000000,0.000000,0.000208,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630261,0,JOINT_NON_MANDATORY,discretionary,3,1 2 3 4 5,19,0,36,0,26,28,5,1,1,1,-1998.748779,-999.000000,-998.871887,-999.000000,-2.302005,-999.000000,-4.783913,-5.944589,-999.000000,-999.000000,-17.740402,-999.000000,-7.929000,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.902822,0.000000,0.073648,0.020280,0.000000,0.000000,0.000000,0.000000,0.003250,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3261111,0,JOINT_NON_MANDATORY,shop,1,1 2 3,19,0,55,0,32,36,5,1,1,3,-1998.209717,-999.000000,-997.902588,-999.000000,-4.925210,-999.000000,-999.000000,-8.634009,-999.000000,-999.000000,-9.338317,-7.203174,-11.729100,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.879761,0.000000,0.000000,0.021560,0.000000,0.000000,0.008334,0.089369,0.000976,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2237385,0,JOINT_NON_MANDATORY,maintenance,3,1 2 6,19,0,14,0,3,6,5,1,1,1,-1998.483765,-999.000000,-997.924805,-999.000000,-2.990144,-999.000000,-4.404487,-7.475773,-999.000000,-999.000000,-15.847125,-999.000000,-8.990200,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.798234,0.000000,0.193411,0.006374,0.000000,0.000000,0.000002,0.000000,0.001979,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2175393,0,JOINT_NON_MANDATORY,shop,3,1 2 4,19,0,27,0,25,26,5,1,1,1,-1998.210449,-999.000000,-997.715210,-999.000000,-3.172773,-999.000000,-5.438876,-7.765309,-999.000000,-999.000000,-14.063408,-999.000000,-10.638100,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.899831,0.000000,0.092651,0.006986,0.000000,0.000000,0.000017,0.000000,0.000515,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2175393,1,JOINT_NON_MANDATORY,eatingout,3,1 2 4,19,0,19,0,29,37,5,1,1,1,-1997.972168,-999.000000,-998.275940,-999.000000,-1.399563,-999.000000,-2.617058,-5.181865,-999.000000,-999.000000,-999.000000,-999.000000,-7.571100,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.761367,0.000000,0.224078,0.012964,0.000000,0.000000,0.000000,0.000000,0.001590,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3344207,0,JOINT_NON_MANDATORY,maintenance,1,1 2 3,19,0,20,0,11,14,5,1,1,1,-1998.641846,-999.000000,-997.735168,-999.000000,-3.338232,-999.000000,-3.205323,-5.852218,-999.000000,-999.000000,-999.000000,-999.000000,-7.386300,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.451722,0.000000,0.513285,0.027108,0.000000,0.000000,0.000000,0.000000,0.007885,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1309674,0,JOINT_NON_MANDATORY,maintenance,1,1 2 3,19,0,30,0,32,38,7,1,1,-1,-1998.137939,-999.000000,-997.838623,-999.000000,-3.782515,-999.000000,-4.559640,-7.507645,-999.000000,-10.614720,-10.106002,-10.342905,-9.767700,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.000000,0.000000,0.675219,0.000000,0.309266,0.011689,0.000000,0.000293,0.001138,0.000696,0.001699,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1113772,0,JOINT_NON_MANDATORY,discretionary,1,1 2,19,0,29,0,1,5,3,1,1,1,-1998.214478,-999.000000,-2.429841,-999.000000,-4.229542,-999.000000,-3.303689,-6.615054,-999.000000,-10.560319,-11.353904,-8.322030,-7.330800,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.633658,0.000000,0.085785,0.000000,0.267165,0.006743,0.000000,0.000069,0.000061,0.001745,0.004774,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3155481,0,JOINT_NON_MANDATORY,maintenance,1,1 2,19,0,7,0,8,11,3,1,1,2,-1998.246582,-999.000000,-2.683127,-999.000000,-5.111485,-999.000000,-4.493482,-7.188736,-999.000000,-999.000000,-999.000000,-999.000000,-8.876700,-999.000000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.000000,0.000000,0.805510,0.000000,0.054234,0.000000,0.131994,0.006606,0.000000,0.000000,0.000000,0.000000,0.001656,0.000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
