hh_id,tour_id,stop_id,inbound,tour_purpose,orig_purpose,dest_purpose,orig_maz,orig_walk_segment,orig_park_maz,dest_maz,dest_walk_segment,parking_taz,stop_period,trip_mode,num_participants,tour_mode,tour_category,board_tap,alight_tap,orig_taz,dest_taz,orig_park_taz,dest_park_taz,driver
2238694,0,-1,0,discretionary,Home,discretionary,67,0,0,71,0,0,11,7,3,7,JOINT_NON_MANDATORY,0,0,17,18,0,0,-1
2238694,0,-1,1,discretionary,discretionary,Home,71,0,0,67,0,0,18,7,3,7,JOINT_NON_MANDATORY,0,0,18,17,0,0,-1
1266874,0,-1,0,discretionary,Home,discretionary,67,0,0,68,0,0,11,7,2,7,JOINT_NON_MANDATORY,0,0,17,17,0,0,-1
1266874,0,-1,1,discretionary,discretionary,Home,68,0,0,67,0,0,17,7,2,7,JOINT_NON_MANDATORY,0,0,17,17,0,0,-1
2287265,0,-1,0,discretionary,Home,discretionary,67,0,0,71,0,0,1,5,5,5,JOINT_NON_MANDATORY,0,0,17,18,0,0,1
2287265,0,-1,1,discretionary,discretionary,Home,71,0,0,67,0,0,4,5,5,5,JOINT_NON_MANDATORY,0,0,18,17,0,0,1
2287265,1,-1,0,discretionary,Home,discretionary,67,0,0,5,0,0,40,5,4,5,JOINT_NON_MANDATORY,0,0,17,2,0,0,2
2287265,1,-1,1,discretionary,discretionary,Home,5,0,0,67,0,0,40,5,4,5,JOINT_NON_MANDATORY,0,0,2,17,0,0,2
3157206,0,-1,0,shop,Home,shop,67,0,0,20,0,0,25,3,2,3,JOINT_NON_MANDATORY,0,0,17,5,0,0,1
3157206,0,-1,1,shop,shop,Home,20,0,0,67,0,0,27,3,2,3,JOINT_NON_MANDATORY,0,0,5,17,0,0,1
3157206,1,-1,0,visiting,Home,visiting,67,0,0,33,0,0,14,3,2,3,JOINT_NON_MANDATORY,0,0,17,9,0,0,1
3157206,1,-1,1,visiting,visiting,Home,33,0,0,67,0,0,19,3,2,3,JOINT_NON_MANDATORY,0,0,9,17,0,0,1
326322,0,-1,0,discretionary,Home,discretionary,67,0,0,19,0,0,3,5,3,5,JOINT_NON_MANDATORY,0,0,17,5,0,0,2
326322,0,-1,1,discretionary,discretionary,Home,19,0,0,67,0,0,6,5,3,5,JOINT_NON_MANDATORY,0,0,5,17,0,0,2
2238668,0,-1,0,shop,Home,shop,67,0,0,71,0,0,24,7,2,7,JOINT_NON_MANDATORY,0,0,17,18,0,0,-1
2238668,0,-1,1,shop,shop,Home,71,0,0,67,0,0,28,7,2,7,JOINT_NON_MANDATORY,0,0,18,17,0,0,-1
2067678,0,-1,0,eatingout,Home,eatingout,67,0,0,33,0,0,30,5,4,5,JOINT_NON_MANDATORY,0,0,17,9,0,0,1
2067678,0,-1,1,eatingout,eatingout,Home,33,0,0,67,0,0,31,5,4,5,JOINT_NON_MANDATORY,0,0,9,17,0,0,1
3282174,0,-1,0,maintenance,Home,maintenance,67,0,0,17,0,0,23,3,2,3,JOINT_NON_MANDATORY,0,0,17,5,0,0,2
3282174,0,-1,1,maintenance,maintenance,Home,17,0,0,67,0,0,25,3,2,3,JOINT_NON_MANDATORY,0,0,5,17,0,0,2
2287263,0,-1,0,maintenance,Home,maintenance,67,0,0,77,0,0,28,5,7,5,JOINT_NON_MANDATORY,0,0,17,20,0,0,5
2287263,0,-1,1,maintenance,maintenance,Home,77,0,0,67,0,0,29,5,7,5,JOINT_NON_MANDATORY,0,0,20,17,0,0,5
2287263,1,-1,0,discretionary,Home,discretionary,67,0,0,6,0,0,30,5,4,5,JOINT_NON_MANDATORY,0,0,17,2,0,0,7
2287263,1,-1,1,discretionary,discretionary,Home,6,0,0,67,0,0,34,5,4,5,JOINT_NON_MANDATORY,0,0,2,17,0,0,7
3282180,0,-1,0,shop,Home,shop,67,0,0,67,0,0,24,3,2,3,JOINT_NON_MANDATORY,0,0,17,17,0,0,1
3282180,0,-1,1,shop,shop,Home,67,0,0,67,0,0,25,3,2,3,JOINT_NON_MANDATORY,0,0,17,17,0,0,1
1490098,0,-1,0,shop,Home,shop,67,0,0,78,0,0,30,7,2,7,JOINT_NON_MANDATORY,0,0,17,20,0,0,-1
1490098,0,-1,1,shop,shop,Home,78,0,0,67,0,0,33,7,2,7,JOINT_NON_MANDATORY,0,0,20,17,0,0,-1
