person_id	person_index	trip_index  	tripstarttime 	origmaz    	destmaz	trip_park_ride_flag	otran_maz	dtran_maz	a_time	e_time	tr_time
     6340660   17980  2  787.60     4    75   0         0         0   0.00000   0.00000   0.00000
     6340660   17980  3  816.90    75    18   0         0         0   0.00000   0.00000   0.00000
     4065459    9851  1  160.30    10    17   1         4         0   2.50000   0.00000   0.00000
     4065459    9851  4  773.60    17    10   2         0         4   0.00000   0.00000   0.00000
     7358818     599  1  160.40     1    33   0         0         0   0.00000   0.00000   0.00000
     7358818     599  4 1183.60    33     3   0         0         0   0.00000   0.00000   0.00000
     2112553   16836  1  160.60    17    68   0         0         0   0.00000   0.00000   0.00000
     2112553   16836  7  863.00    71    17   0         0         0   0.00000   0.00000   0.00000
     5193515   38600  1  161.90    46    41   1        40         0   5.10000   0.00000   0.00000
     5193515   38600  2  175.60    41    46   2         0        40   0.00000   0.00000   0.00000
     5193515   38600  3  222.00    46    71   0         0         0   0.00000   0.00000   0.00000
     8918346   28736  1  162.40    35    19   1         4         0   3.60000   0.00000   0.00000
     8918346   28736  4  772.30    19    35   2         0         4   0.00000   0.00000   0.00000
     4065484    8061  1  162.60     9    19   1         4         0   2.40000   0.00000   0.00000
     4065484    8061  6  821.70    19     9   2         0         4   0.00000   0.00000   0.00000
     8716230    2886  1  163.90     4    71   0         0         0   0.00000   0.00000   0.00000
     8716230    2886  2  853.10    71     4   0         0         0   0.00000   0.00000   0.00000
     3752131   17987  1  164.10    18    68   0         0         0   0.00000   0.00000   0.00000
     3752131   17987  5  807.30    77     4   0         0         0   0.00000   0.00000   0.00000
     7650416   14599  1  164.10    14    70   0         0         0   0.00000   0.00000   0.00000
     7650416   14599  2  709.60    70    14   0         0         0   0.00000   0.00000   0.00000
     8967978   58056  1  164.70    66    71   0         0         0   0.00000   0.00000   0.00000
     7078201   70024  1  167.40    76     5   0         0         0   0.00000   0.00000   0.00000
     7078201   70024  4  771.50     5    68   0         0         0   0.00000   0.00000   0.00000
     5583642   37746  1  167.60    45    70   0         0         0   0.00000   0.00000   0.00000
     5583642   37746  2  702.40    70    47   0         0         0   0.00000   0.00000   0.00000
     2284900    3133  1  168.60     4    71   0         0         0   0.00000   0.00000   0.00000
     2284900    3133  2  834.80    71     4   0         0         0   0.00000   0.00000   0.00000
     6827148   55582  1  170.10    64     5   0         0         0   0.00000   0.00000   0.00000
     6827148   55582  2  844.60     5    62   0         0         0   0.00000   0.00000   0.00000
      145321   23988  1  171.10    27    71   0         0         0   0.00000   0.00000   0.00000
      145321   23988  6 1011.00    71    15   0         0         0   0.00000   0.00000   0.00000
     2619832   64929  1  172.50    71     4   0         0         0   0.00000   0.00000   0.00000
     2619832   64929  2  341.60     4    71   0         0         0   0.00000   0.00000   0.00000
     7360212   35165  1  172.80    41    70   0         0         0   0.00000   0.00000   0.00000
     7360212   35165  2  729.90    70    20   0         0         0   0.00000   0.00000   0.00000
     7656928   54623  1  173.60    63    71   0         0         0   0.00000   0.00000   0.00000
     7656928   54623  2  192.90    71    71   0         0         0   0.00000   0.00000   0.00000
     7656928   54623  6  859.70    71    27   0         0         0   0.00000   0.00000   0.00000
     7656928   54623  7  884.10    27    71   0         0         0   0.00000   0.00000   0.00000
     2769037   63040  1  174.70    71    17   1         4         0   5.90000   0.00000   0.00000
     2769037   63040  4  900.00    17    71   2         0         4   0.00000   0.00000   0.00000
     7924231   40172  1  174.90    48    71   0         0         0   0.00000   0.00000   0.00000
     7924231   40172  2  864.50    71    48   0         0         0   0.00000   0.00000   0.00000
     6233128   31410  1  175.60    37     4   1         4         0   4.10000   0.00000   0.00000
     6233128   31410  2  807.50     4    37   2         0         4   0.00000   0.00000   0.00000
     8722581   73200  1  175.90    79    68   0         0         0   0.00000   0.00000   0.00000
     6646348   67026  1  176.20    73     5   0         0         0   0.00000   0.00000   0.00000
     6646348   67026  5  849.90     5    73   0         0         0   0.00000   0.00000   0.00000
     3764735   60751  1  177.70    68     4   0         0         0   0.00000   0.00000   0.00000
     3764735   60751  2  713.10     4    68   0         0         0   0.00000   0.00000   0.00000
     5377913   72139  1  180.10    78    71   0         0         0   0.00000   0.00000   0.00000
     6340755   21185  1  180.70    24     5   0         0         0   0.00000   0.00000   0.00000
     2547257   64240  1  181.10    71    62   0         0         0   0.00000   0.00000   0.00000
     2547257   64240  2  563.10    62    71   0         0         0   0.00000   0.00000   0.00000
     9135392   38775  1  181.10    46    71   0         0         0   0.00000   0.00000   0.00000
     9135392   38775  3  200.80    72    71   0         0         0   0.00000   0.00000   0.00000
     2118224   71059  1  182.00    77    71   1        77         0   1.00000   0.00000   0.00000
     2118224   71059  5  973.40    71    77   2         0        77   0.00000   0.00000   0.00000
     4198336   35972  1  182.40    42    71   0         0         0   0.00000   0.00000   0.00000
     4198336   35972  2  638.80    71    42   0         0         0   0.00000   0.00000   0.00000
     7513957   49293  1  183.20    57    77   1        77         0   4.30000   0.00000   0.00000
     7513957   49293  2  740.80    77    57   2         0        77   0.00000   0.00000   0.00000
     6555876   41511  1  183.50    49     5   1         4         0   6.20000   0.00000   0.00000
     6555876   41511  2  196.30     5    49   2         0         4   0.00000   0.00000   0.00000
     7932399   50645  1  183.70    58    19   0         0         0   0.00000   0.00000   0.00000
     9902110    9007  3  183.70     9    69   0         0         0   0.00000   0.00000   0.00000
     9902110    9007  7  851.60    71     9   0         0         0   0.00000   0.00000   0.00000
     9570136   63698  1  183.80    71    33   0         0         0   0.00000   0.00000   0.00000
     9777905   59926  1  183.80    68    28   0         0         0   0.00000   0.00000   0.00000
      148748   66235  3  184.20    73    71   0         0         0   0.00000   0.00000   0.00000
     7078643   73549  1  184.60    79    70   0         0         0   0.00000   0.00000   0.00000
     6639672   36475  1  184.60    43    45   0         0         0   0.00000   0.00000   0.00000
     6639672   36475  2  853.70    45    43   0         0         0   0.00000   0.00000   0.00000
     6350508   61110  1  184.80    68    17   0         0         0   0.00000   0.00000   0.00000
     6350508   61110  2  820.20    17    68   0         0         0   0.00000   0.00000   0.00000
     4197685   23938  1  185.00    27    71   0         0         0   0.00000   0.00000   0.00000
     4197685   23938  2  757.60    71    27   0         0         0   0.00000   0.00000   0.00000
     1116732   24190  3  185.20    28    72   0         0         0   0.00000   0.00000   0.00000
     1116732   24190  5  875.20    71    28   0         0         0   0.00000   0.00000   0.00000
     4799666   65612  3  185.50    69     5   0         0         0   0.00000   0.00000   0.00000
     4799666   65612  4  700.40     5    70   0         0         0   0.00000   0.00000   0.00000
     8717166   35005  1  185.60    41    72   1        72         0   8.30000   0.00000   0.00000
     8717166   35005  2  636.80    72    41   2         0        72   0.00000   0.00000   0.00000
     2406382   48466  1  185.70    56    71   1        68         0   4.80000   0.00000   0.00000
     2406382   48466  2  204.90    71    56   2         0        68   0.00000   0.00000   0.00000
     7076980   65428  1  186.30    72    65   0         0         0   0.00000   0.00000   0.00000
     7076980   65428  2  223.40    65    14   0         0         0   0.00000   0.00000   0.00000
     7076980   65428  6  880.50    17    72   0         0         0   0.00000   0.00000   0.00000
     8716455   15617  1  186.30    15    77   0         0         0   0.00000   0.00000   0.00000
     8716455   15617  2  974.70    77    15   0         0         0   0.00000   0.00000   0.00000
     6340842   18700  1  186.40    21    71   0         0         0   0.00000   0.00000   0.00000
     6340842   18700  5  383.70    71    17   0         0         0   0.00000   0.00000   0.00000
     4798488   53010  2  186.70    71    71   0         0         0   0.00000   0.00000   0.00000
     4798488   53010  3  773.70    71    27   0         0         0   0.00000   0.00000   0.00000
     9864081   58102  1  186.90    66    30   0         0         0   0.00000   0.00000   0.00000
     9864081   58102  5  821.20    30    66   0         0         0   0.00000   0.00000   0.00000
     2116992   47231  1  187.10    54    19   1         4         0   6.00000   0.00000   0.00000
     2116992   47231  2  979.50    19    54   2         0         4   0.00000   0.00000   0.00000
     8830547   57683  1  187.30    66    28   0         0         0   0.00000   0.00000   0.00000
     8830547   57683  2  781.20    28    66   0         0         0   0.00000   0.00000   0.00000
     7366766   68333  1  188.00    75    71   0         0         0   0.00000   0.00000   0.00000
     5377640   64193  3  188.00    71     4   0         0         0   0.00000   0.00000   0.00000
     5377640   64193  5  933.10    20    77   0         0         0   0.00000   0.00000   0.00000
     5377640   64193  6  974.60    77    71   0         0         0   0.00000   0.00000   0.00000
    10036940   74589  1  188.40    80    17   0         0         0   0.00000   0.00000   0.00000
    10036940   74589  4  812.10    17    79   0         0         0   0.00000   0.00000   0.00000
     2407582   71680  1  188.40    78    17   1         4         0   7.50000   0.00000   0.00000
     2407582   71680  2  786.40    17    78   2         0         4   0.00000   0.00000   0.00000
     5193026    3447  1  188.40     4    71   0         0         0   0.00000   0.00000   0.00000
     5193026    3447  2  879.00    71     4   0         0         0   0.00000   0.00000   0.00000
      938280    3143  1  188.70     4    71   0         0         0   0.00000   0.00000   0.00000
      938280    3143  3  702.90    71     5   0         0         0   0.00000   0.00000   0.00000
     3764883   64088  1  189.70    71    17   0         0         0   0.00000   0.00000   0.00000
     9981723   65562  1  190.00    72    17   0         0         0   0.00000   0.00000   0.00000
     8717034   31404  1  190.30    37    71   0         0         0   0.00000   0.00000   0.00000
     8717034   31404  2  849.70    71    37   0         0         0   0.00000   0.00000   0.00000
      701771   15249  1  190.50    15    24   0         0         0   0.00000   0.00000   0.00000
      701771   15249  2  727.50    24    15   0         0         0   0.00000   0.00000   0.00000
     3751760   11758  1  190.50    12     3   1         4         0   2.90000   0.00000   0.00000
     3751760   11758  4 1054.00     3    12   2         0         4   0.00000   0.00000   0.00000
      148776   71406  1  191.40    77     5   0         0         0   0.00000   0.00000   0.00000
      148776   71406  2  646.60     5    71   0         0         0   0.00000   0.00000   0.00000
      148776   71406  4  712.70    77    13   0         0         0   0.00000   0.00000   0.00000
      148776   71406  5  722.50    13    77   0         0         0   0.00000   0.00000   0.00000
     8721321   41891  1  191.70    49    17   1         4         0   6.80000   0.00000   0.00000
     8721321   41891  2 1260.70    17    49   2         0         4   0.00000   0.00000   0.00000
     4799566   60779  1  191.80    68    65   0         0         0   0.00000   0.00000   0.00000
     2284927    5925  1  192.20     6    77   0         0         0   0.00000   0.00000   0.00000
     2284927    5925  5  647.40    71     6   0         0         0   0.00000   0.00000   0.00000
     4558863   66295  1  193.20    73    71   0         0         0   0.00000   0.00000   0.00000
     7076809   62722  1  194.20    70     3   0         0         0   0.00000   0.00000   0.00000
     7076809   62722  2  195.90     3    17   0         0         0   0.00000   0.00000   0.00000
     7076809   62722  3  427.10    17    69   0         0         0   0.00000   0.00000   0.00000
     6645741   63928  1  194.30    71    71   0         0         0   0.00000   0.00000   0.00000
     8391177   19175  1  194.60    21    71   1        68         0   3.70000   0.00000   0.00000
     8391177   19175  2  918.90    71    21   2         0        68   0.00000   0.00000   0.00000
     3752913   27767  1  195.20    32    71   0         0         0   0.00000   0.00000   0.00000
     6639400   26498  1  195.20    31    71   0         0         0   0.00000   0.00000   0.00000
     6639400   26498  2  293.20    71    31   0         0         0   0.00000   0.00000   0.00000
     5198110   69162  1  195.40    76    17   0         0         0   0.00000   0.00000   0.00000
     5198110   69162  4  887.60    17    76   0         0         0   0.00000   0.00000   0.00000
     6340442   15908  1  195.60    16    20   1        24         0   5.30000   0.00000   0.00000
     6340442   15908  2  770.00    20    16   2         0        24   0.00000   0.00000   0.00000
     9094343   63059  1  196.20    71    33   0         0         0   0.00000   0.00000   0.00000
     9094343   63059  6  777.10    79    71   0         0         0   0.00000   0.00000   0.00000
     6924853    2869  1  196.20     4    66   0         0         0   0.00000   0.00000   0.00000
     6924853    2869  2  229.80    66    71   0         0         0   0.00000   0.00000   0.00000
     6924853    2869  3  981.90    71     4   0         0         0   0.00000   0.00000   0.00000
     5377591   56289  1  196.30    65    17   0         0         0   0.00000   0.00000   0.00000
     8967412   39192  1  196.70    46    28   0         0         0   0.00000   0.00000   0.00000
     9109179   57431  1  196.90    66    71   0         0         0   0.00000   0.00000   0.00000
     9109179   57431  2  737.00    71    40   0         0         0   0.00000   0.00000   0.00000
     9109179   57431  3  848.10    40    66   0         0         0   0.00000   0.00000   0.00000
     6351975   71082  1  197.00    77    28   0         0         0   0.00000   0.00000   0.00000
     6351975   71082  5  895.20    28    71   0         0         0   0.00000   0.00000   0.00000
     6342108   39645  2  197.20    45    71   0         0         0   0.00000   0.00000   0.00000
     6342108   39645  3  245.40    71    71   0         0         0   0.00000   0.00000   0.00000
     6342108   39645  6 1039.50    71    47   0         0         0   0.00000   0.00000   0.00000
     3765813   74273  1  198.30    80     4   0         0         0   0.00000   0.00000   0.00000
     3765813   74273  2  796.40     4    66   0         0         0   0.00000   0.00000   0.00000
     2403094   37973  1  198.30    45    71   1        71         0   3.70000   0.00000   0.00000
     2403094   37973  4  836.00    71    45   2         0        71   0.00000   0.00000   0.00000
     7064314   15737  2  199.00    16    33   0         0         0   0.00000   0.00000   0.00000
     7078177   69843  1  199.10    76     5   0         0         0   0.00000   0.00000   0.00000
     7078177   69843  3  720.30     2    76   0         0         0   0.00000   0.00000   0.00000
     7078177   69843  4  794.60    76    79   0         0         0   0.00000   0.00000   0.00000
     2117842   59380  2  199.10    68    32   0         0         0   0.00000   0.00000   0.00000
      145073    1491  1  199.60     2    71   0         0         0   0.00000   0.00000   0.00000
      145073    1491  2  861.00    71    15   0         0         0   0.00000   0.00000   0.00000
     9824104    2710  1  199.80     4    68   0         0         0   0.00000   0.00000   0.00000
     9824104    2710  6  760.10    68     5   0         0         0   0.00000   0.00000   0.00000
     8722356   63950  1  200.40    71    45   0         0         0   0.00000   0.00000   0.00000
     8722356   63950  6  884.40    19    71   0         0         0   0.00000   0.00000   0.00000
     8397795   57219  1  200.40    65    17   0         0         0   0.00000   0.00000   0.00000
     2402698    3263  1  200.80     4    71   0         0         0   0.00000   0.00000   0.00000
     2402698    3263  2  416.30    71     5   0         0         0   0.00000   0.00000   0.00000
     8828966    2651  1  200.80     4    53   0         0         0   0.00000   0.00000   0.00000
     8921360   61609  2  200.90    71    60   0         0         0   0.00000   0.00000   0.00000
     5593078   73445  2  201.30    79    71   0         0         0   0.00000   0.00000   0.00000
     4798054   52782  1  201.50    60    48   0         0         0   0.00000   0.00000   0.00000
     4798054   52782  2  228.70    48    42   0         0         0   0.00000   0.00000   0.00000
     4798054   52782  6  874.00    42    60   0         0         0   0.00000   0.00000   0.00000
     7366148   65075  1  202.00    72    28   0         0         0   0.00000   0.00000   0.00000
     7366148   65075  3  616.80    28    78   0         0         0   0.00000   0.00000   0.00000
     4592862   71099  3  202.50    77    71   0         0         0   0.00000   0.00000   0.00000
     6351822   71785  2  203.00    77     7   0         0         0   0.00000   0.00000   0.00000
     6351822   71785  5  666.90     7    77   0         0         0   0.00000   0.00000   0.00000
     9824896   51523  1  203.00    59     5   0         0         0   0.00000   0.00000   0.00000
     9824896   51523  2  912.10     5    59   0         0         0   0.00000   0.00000   0.00000
     5990742   56748  1  203.70    65     7   0         0         0   0.00000   0.00000   0.00000
     5990742   56748  5  831.60     7    65   0         0         0   0.00000   0.00000   0.00000
     6928505   65306  1  204.10    72    20   0         0         0   0.00000   0.00000   0.00000
     6928505   65306  2  762.60    20    72   0         0         0   0.00000   0.00000   0.00000
     7078264   74853  1  204.30    80    61   1        65         0   2.90000   0.00000   0.00000
     7078264   74853  2  284.80    61    80   2         0        65   0.00000   0.00000   0.00000
     9163583   31647  1  204.50    37    71   1        68         0   0.60000   0.00000   0.00000
     9163583   31647  2  739.60    71    37   2         0        68   0.00000   0.00000   0.00000
     7658468   72548  1  204.90    78    42   0         0         0   0.00000   0.00000   0.00000
     7658468   72548  2  727.20    42    77   0         0         0   0.00000   0.00000   0.00000
     3765628   67414  1  205.10    74    71   0         0         0   0.00000   0.00000   0.00000
     3765628   67414  5  738.70    71    74   0         0         0   0.00000   0.00000   0.00000
     3765628   67414  6  822.60    74    71   0         0         0   0.00000   0.00000   0.00000
     3765628   67414  7 1163.00    71    74   0         0         0   0.00000   0.00000   0.00000
     6645870   64615  3  205.10    71    71   1        77         0   0.50000   0.00000   0.00000
     6645870   64615  4  264.30    71    71   2         0        77   0.00000   0.00000   0.00000
     4197417   16875  1  205.30    17    70   0         0         0   0.00000   0.00000   0.00000
     4197417   16875  2  785.90    70     7   0         0         0   0.00000   0.00000   0.00000
    10009279   75751  1  205.60    48    15   0         0         0   0.00000   0.00000   0.00000
    10009279   75751  2  236.90    15    48   0         0         0   0.00000   0.00000   0.00000
    10009278   40890  1  205.60    48    15   0         0         0   0.00000   0.00000   0.00000
    10009278   40890  2  236.90    15    48   0         0         0   0.00000   0.00000   0.00000
    10009277   40889  1  205.60    48    15   0         0         0   0.00000   0.00000   0.00000
    10009277   40889  2  236.90    15    48   0         0         0   0.00000   0.00000   0.00000
     3764746   58829  1  205.80    67    71   0         0         0   0.00000   0.00000   0.00000
     3764746   58829  4  841.90    71    27   0         0         0   0.00000   0.00000   0.00000
     3764746   58829  5  873.50    27    68   0         0         0   0.00000   0.00000   0.00000
     5197264   50571  1  205.80    58    75   0         0         0   0.00000   0.00000   0.00000
     9006061   21493  1  206.10    25    71   0         0         0   0.00000   0.00000   0.00000
     9006061   21493  4  925.40    71    25   0         0         0   0.00000   0.00000   0.00000
     6928445   59264  1  206.60    67     5   0         0         0   0.00000   0.00000   0.00000
     6928445   59264  2  860.70     5    67   0         0         0   0.00000   0.00000   0.00000
     4592433   57545  1  207.00    66    42   0         0         0   0.00000   0.00000   0.00000
     4592433   57545  2  238.50    42    66   0         0         0   0.00000   0.00000   0.00000
     4592432   57544  4  207.00    66    42   0         0         0   0.00000   0.00000   0.00000
     4592432   57544  5  238.50    42    66   0         0         0   0.00000   0.00000   0.00000
     4592430   57542  1  207.00    66    42   0         0         0   0.00000   0.00000   0.00000
     4592430   57542  2  238.50    42    66   0         0         0   0.00000   0.00000   0.00000
     4592430   57542  6  336.10    66    71   0         0         0   0.00000   0.00000   0.00000
     4592430   57542  7  973.40    71    66   0         0         0   0.00000   0.00000   0.00000
     7078441   72833  1  207.30    78    71   0         0         0   0.00000   0.00000   0.00000
     5198182   71667  1  207.60    78    71   0         0         0   0.00000   0.00000   0.00000
     5198182   71667  2  862.30    71    78   0         0         0   0.00000   0.00000   0.00000
     4197016   16366  1  207.70    16    20   1        24         0   5.10000   0.00000   0.00000
     4197016   16366  2  277.90    20    16   2         0        24   0.00000   0.00000   0.00000
     4068880   61080  2  209.00    71    68   0         0         0   0.00000   0.00000   0.00000
     4068880   61080  3  237.80    68    71   0         0         0   0.00000   0.00000   0.00000
     4068880   61080  4  497.80    71     5   0         0         0   0.00000   0.00000   0.00000
     4068880   61080  7  618.50    17    68   0         0         0   0.00000   0.00000   0.00000
     7365695   53038  1  209.00    61    71   1        71         0   3.60000   0.00000   0.00000
     7365695   53038  4  834.80    71    61   2         0        71   0.00000   0.00000   0.00000
     8397819   56931  1  209.60    65     5   0         0         0   0.00000   0.00000   0.00000
     8397819   56931  2  915.70     5    65   0         0         0   0.00000   0.00000   0.00000
     8716376    6367  1  209.60     7    69   0         0         0   0.00000   0.00000   0.00000
     8716376    6367  3  809.00    71     7   0         0         0   0.00000   0.00000   0.00000
     1222622    2926  1  210.20     4    71   0         0         0   0.00000   0.00000   0.00000
     1222622    2926  3  918.50    70     4   0         0         0   0.00000   0.00000   0.00000
     5198140   67145  1  210.30    74    66   0         0         0   0.00000   0.00000   0.00000
     9094211   54857  1  210.40    63    17   0         0         0   0.00000   0.00000   0.00000
     9094211   54857  5  889.80    17    63   0         0         0   0.00000   0.00000   0.00000
     6928721   69415  1  210.50    76    62   0         0         0   0.00000   0.00000   0.00000
     6928721   69415  2 1003.90    62    76   0         0         0   0.00000   0.00000   0.00000
     6340619   14130  3  210.50    14    77   0         0         0   0.00000   0.00000   0.00000
     6340619   14130  4  966.80    77    14   0         0         0   0.00000   0.00000   0.00000
     4800730   71674  2  210.60    77    68   0         0         0   0.00000   0.00000   0.00000
     3260703   18973  1  210.70    21    70   0         0         0   0.00000   0.00000   0.00000
     5193480   34282  1  210.90    40    70   0         0         0   0.00000   0.00000   0.00000
     5193480   34282  2  634.70    70    40   0         0         0   0.00000   0.00000   0.00000
     8722332   63377  1  211.00    71    77   0         0         0   0.00000   0.00000   0.00000
     8722332   63377  2  258.40    77    71   0         0         0   0.00000   0.00000   0.00000
     8722332   63377  3  797.50    71    71   0         0         0   0.00000   0.00000   0.00000
     5583859   40102  3  211.00    48    71   0         0         0   0.00000   0.00000   0.00000
     6352131   71534  1  211.10    77     5   0         0         0   0.00000   0.00000   0.00000
     6352131   71534  2  796.80     5    78   0         0         0   0.00000   0.00000   0.00000
     4800642   74720  1  211.20    80    17   0         0         0   0.00000   0.00000   0.00000
     4800642   74720  4  880.50    17    80   0         0         0   0.00000   0.00000   0.00000
     7078674   70401  1  211.20    77    55   0         0         0   0.00000   0.00000   0.00000
     7078674   70401  4  621.70    55    14   0         0         0   0.00000   0.00000   0.00000
     7078674   70401  5  647.60    14    77   0         0         0   0.00000   0.00000   0.00000
     3260371   15352  1  211.20    15    70   0         0         0   0.00000   0.00000   0.00000
     3260371   15352  2  792.00    70    15   0         0         0   0.00000   0.00000   0.00000
     4800570   68306  1  211.30    75    45   0         0         0   0.00000   0.00000   0.00000
     6639323   26251  1  211.30    29    70   0         0         0   0.00000   0.00000   0.00000
     6639323   26251  2  729.70    70    30   0         0         0   0.00000   0.00000   0.00000
     9747107   16972  1  211.30    17    71   1        68         0   3.70000   0.00000   0.00000
