hh_id,tour_id,stop_id,inbound,tour_purpose,orig_purpose,dest_purpose,orig_maz,orig_walk_segment,orig_park_maz,dest_maz,dest_walk_segment,parking_taz,stop_period,trip_mode,num_participants,tour_mode,tour_category,board_tap,alight_tap,orig_taz,dest_taz,orig_park_taz,dest_park_taz,driver,SimulatedTravelTime                                             
2287422,0,-1,0,shop,Home,shop,74,0,0,45,0,0,34,7,6,7,JOINT_NON_MANDATORY,0,0,19,12,0,0,-1,0.00                                                        
2287422,0,-1,1,shop,shop,Home,45,0,0,74,0,0,37,7,6,7,JOINT_NON_MANDATORY,0,0,12,19,0,0,-1,0.00                                                        
2287422,1,-1,0,eatingout,Home,eatingout,74,0,0,67,0,0,26,5,5,5,JOINT_NON_MANDATORY,0,0,19,17,0,0,6,3.60                                               
2287422,1,-1,1,eatingout,eatingout,Home,67,0,0,74,0,0,28,5,5,5,JOINT_NON_MANDATORY,0,0,17,19,0,0,6,2.70                                               
1845516,0,-1,0,eatingout,Home,eatingout,74,0,0,33,0,0,17,3,2,3,JOINT_NON_MANDATORY,0,0,19,9,0,0,1,4.60                                                
1845516,0,-1,1,eatingout,eatingout,Home,33,0,0,74,0,0,20,3,2,3,JOINT_NON_MANDATORY,0,0,9,19,0,0,1,2.40                                                
3359496,0,-1,0,shop,Home,shop,74,0,0,55,0,0,11,3,2,3,JOINT_NON_MANDATORY,0,0,19,14,0,0,1,5.80                                                         
3359496,0,-1,1,shop,shop,Home,55,0,0,74,0,0,20,3,2,3,JOINT_NON_MANDATORY,0,0,14,19,0,0,1,4.60                                                         
1589762,0,-1,0,shop,Home,shop,74,0,0,45,0,0,30,5,3,5,JOINT_NON_MANDATORY,0,0,19,12,0,0,3,8.20                                                         
1589762,0,-1,1,shop,shop,Home,45,0,0,74,0,0,32,5,3,5,JOINT_NON_MANDATORY,0,0,12,19,0,0,3,0.20                                                         
1266917,0,-1,0,visiting,Home,visiting,74,0,0,33,0,0,15,3,2,3,JOINT_NON_MANDATORY,0,0,19,9,0,0,2,2.40                                                  
1266917,0,-1,1,visiting,visiting,Home,33,0,0,74,0,0,21,3,2,3,JOINT_NON_MANDATORY,0,0,9,19,0,0,2,2.50                                                  
3157521,0,-1,0,shop,Home,shop,74,0,0,62,0,0,12,3,2,3,JOINT_NON_MANDATORY,0,0,19,16,0,0,1,5.00                                                         
3157521,0,-1,1,shop,shop,Home,62,0,0,74,0,0,16,3,2,3,JOINT_NON_MANDATORY,0,0,16,19,0,0,1,4.50                                                         
2035738,0,-1,0,shop,Home,shop,74,0,0,62,0,0,4,3,2,3,JOINT_NON_MANDATORY,0,0,19,16,0,0,1,3.60                                                          
2035738,0,-1,1,shop,shop,Home,62,0,0,74,0,0,6,3,2,3,JOINT_NON_MANDATORY,0,0,16,19,0,0,1,4.80                                                          
2035731,0,-1,0,visiting,Home,visiting,74,0,0,28,0,0,33,5,3,5,JOINT_NON_MANDATORY,0,0,19,7,0,0,3,1440.00                                               
2035731,0,-1,1,visiting,visiting,Home,28,0,0,74,0,0,39,5,3,5,JOINT_NON_MANDATORY,0,0,7,19,0,0,3,1440.00                                               
3224549,0,-1,0,shop,Home,shop,74,0,0,45,0,0,14,3,2,3,JOINT_NON_MANDATORY,0,0,19,12,0,0,1,2.50                                                         
3224549,0,-1,1,shop,shop,Home,45,0,0,74,0,0,17,3,2,3,JOINT_NON_MANDATORY,0,0,12,19,0,0,1,0.30                                                         
647330,0,-1,0,discretionary,Home,discretionary,74,0,0,49,0,0,29,3,2,3,JOINT_NON_MANDATORY,0,0,19,13,0,0,2,18.80                                       
647330,0,-1,1,discretionary,discretionary,Home,49,0,0,74,0,0,33,3,2,3,JOINT_NON_MANDATORY,0,0,13,19,0,0,2,6.10                                        
1313252,0,-1,0,visiting,Home,visiting,74,0,0,76,0,0,29,5,2,5,JOINT_NON_MANDATORY,0,0,19,19,0,0,1,0.30                                                 
1313252,0,-1,1,visiting,visiting,Home,76,0,0,74,0,0,35,5,2,5,JOINT_NON_MANDATORY,0,0,19,19,0,0,1,0.30                                                 
2105065,0,-1,0,discretionary,Home,discretionary,74,0,0,77,0,0,4,7,3,7,JOINT_NON_MANDATORY,0,0,19,20,0,0,-1,0.00                                       
