 Number of persons with inconsistent (negative) activity duration
         259         485          13  N Atime before
         259         485  stress
         261         489           2  N Atime before
         261         489           4  N Atime before
         261         489  stress
         266         499           1  N Atime before
         266         499  stress
         267         500           9  N Atime before
         267         500          10  N Atime before
         267         500          12  N Atime before
         267         500          13  N Atime before
         267         500  stress
         267       75027           1  N Atime before
         267       75027  stress
         270         506           3  N Atime before
         270         509           5  N Atime before
         270         509  stress
         273         516           5  N Atime before
         273         516  stress
         276         520           2  N Atime before
         276         520           7  N Atime before
         278         523           7  N Atime before
         285         535           2  N Atime before
         285         535  stress
         287         538           8  N Atime before
         287         538  stress
         289         542           6  N Atime before
         289         542  stress
         295         551           9  N Atime before
         295         551  stress
         295         553           7  N Atime before
         295         553  stress
         295         554           2  N Atime before
         295         554           3  N Atime before
         295         554  stress
         296         555           6  N Atime before
         298         558           8  N Atime before
         298         558  stress
         304         567           5  N Atime before
         305         569           9  N Atime before
         305         570           3  N Atime before
         308         583           5  N Atime before
         308         583           7  N Atime before
         308         583           8  N Atime before
         308         583  stress
         308         584           7  N Atime before
         308         584  stress
         311         590           7  N Atime before
         311         590  stress
         313         594           6  N Atime before
         313         594  stress
         314         599           1  N Atime before
         314         599           4  N Atime before
         314         599  stress
         314         600           1  N Atime before
         314         600  stress
         318         611           9  N Atime before
         319         612           5  N Atime before
         319         612           6  N Atime before
         319         612  stress
         319         613           2  N Atime before
         319         613           5  N Atime before
         319         613          13  N Atime before
         319         613          14  N Atime before
         319         613  stress
         320         614           4  N Atime before
         320         614  stress
         321         615  stress
         322         616           9  N Atime before
         322         616  stress
         322         617           3  N Atime before
         322         617           4  N Atime before
         322         617  stress
         323         618  stress
         325         620           3  N Atime before
         325         620  stress
         325         621           5  N Atime before
         325         621  stress
         325         622          11  N Atime before
         325         622  stress
         325         623           3  N Atime before
         325         623  stress
         327         627           2  N Atime before
         333         636           4  N Atime before
         333         636          10  N Atime before
         333         636  stress
         337         652          10  N Atime before
         337         652  stress
         337         653           5  N Atime before
         337         653  stress
         341         663           8  N Atime before
         341         663  stress
         342         664           4  N Atime before
         345         669           4  N Atime before
         345         669           5  N Atime before
         345         669  stress
         347         672           9  N Atime before
         347         672  stress
         348         676           1  N Atime before
         350         683           1  N Atime before
         350         684           4  N Atime before
         350         684           6  N Atime before
         350         684  stress
         351         685           5  N Atime before
         357         694  stress
         361         703           4  N Atime before
         361         703           7  N Atime before
         361         703  stress
         364         712           3  N Atime before
         365         713           5  N Atime before
         365         713  stress
         370         723           5  N Atime before
         370         723  stress
         373         730  stress
         373         731           7  N Atime before
         373         731  stress
         375         734           3  N Atime before
         375         735           3  N Atime before
         375         736           3  N Atime before
         385         746           5  N Atime before
         385         748           6  N Atime before
         385         748  stress
         385         749           7  N Atime before
         385         749  stress
         391         754           5  N Atime before
         391         754           6  N Atime before
         391         754  stress
         391         755           6  N Atime before
         391         756           6  N Atime before
         391         757           5  N Atime before
         393         761           1  N Atime before
         394         762  stress
         396         769           5  N Atime before
         396         769  stress
         397         774  stress
         398         775           8  N Atime before
         398         775  stress
         398         777           5  N Atime before
         398         777  stress
         398         778           8  N Atime before
         398         778  stress
         398         779           6  N Atime before
         398         779  stress
         399         780           7  N Atime before
         399         781           4  N Atime before
         399         781  stress
         401         783           8  N Atime before
         401         783          10  N Atime before
         401         783  stress
         401         784           5  N Atime before
         401         785           6  N Atime before
         401         785  stress
         401         786           6  N Atime before
         401         786  stress
         403         789  stress
         403       75032  stress
         404         790           4  N Atime before
         404         790  stress
         406         792           5  N Atime before
         419         816           2  N Atime before
         419         816  stress
         426         824           2  N Atime before
         426         824           6  N Atime before
         426         824           7  N Atime before
         426         824  stress
         426         826           7  N Atime before
         426         826           8  N Atime before
         426         826  stress
         428         829           7  N Atime before
         428         829           8  N Atime before
         428         829  stress
         430         831           1  N Atime before
         430         831           5  N Atime before
         430         831  stress
         434         838           5  N Atime before
         434         838  stress
         435         839           2  N Atime before
         436         841           5  N Atime before
         440         849           1  N Atime before
         440         849           2  N Atime before
         440         849           3  N Atime before
         440         849  stress
         444         855  stress
         448         860           3  N Atime before
         448         860  stress
         449         861           6  N Atime before
         449         861  stress
         450         862           4  N Atime before
         452         865           4  N Atime before
         453         866           4  N Atime before
         455         869           3  N Atime before
         455         869  stress
         458         872  stress
         463         881          12  N Atime before
         467         887           4  N Atime before
         467         887           5  N Atime before
         467         887  stress
         475         897           5  N Atime before
         475         898           3  N Atime before
         475         898  stress
         483         910           4  N Atime before
         483         910  stress
         484         912           6  N Atime before
         484         912  stress
         485         913           3  N Atime before
         485         913  stress
         492         923           4  N Atime before
         492         924           5  N Atime before
         492         924           6  N Atime before
         492         924  stress
         493         926           5  N Atime before
         493         926           6  N Atime before
         500         938           4  N Atime before
         500         938           5  N Atime before
         500         938           7  N Atime before
         501         941           3  N Atime before
         501         941  stress
         503         944           2  N Atime before
         503         944          10  N Atime before
         503         944  stress
         512       75036  stress
         512         962  stress
         516         969           3  N Atime before
         517         970           4  N Atime before
         520         976           4  N Atime before
         520         977           2  N Atime before
         534        1001           4  N Atime before
         534        1001           8  N Atime before
         534        1001  stress
         534        1002           5  N Atime before
         534        1002           7  N Atime before
         534        1002  stress
         535        1003           1  N Atime before
         535        1003           2  N Atime before
         535        1003           3  N Atime before
         535        1003  stress
         536        1006  stress
         537        1007           1  N Atime before
         539        1010           5  N Atime before
         539        1010  stress
         548        1025  stress
         551        1030           6  N Atime before
         559        1042  stress
         562        1049           2  N Atime before
         563        1057           6  N Atime before
         563        1057  stress
         570        1071           8  N Atime before
         575        1079           8  N Atime before
         575        1080           3  N Atime before
         577        1086           5  N Atime before
         577        1086           6  N Atime before
         577        1086  stress
         581        1094           4  N Atime before
         581        1094  stress
         583        1097           6  N Atime before
         585        1102           8  N Atime before
         592        1117  stress
         596        1125           6  N Atime before
         596        1125  stress
         600        1131  stress
         604        1137           2  N Atime before
         604        1137           7  N Atime before
         604        1137  stress
         604        1138           3  N Atime before
         604        1138  stress
         611        1147  stress
         611        1148           1  N Atime before
         611        1148           2  N Atime before
         611        1148  stress
         613        1152           1  N Atime before
         613        1152  stress
         613        1153           9  N Atime before
         613        1153  stress
         613        1154  stress
         613        1155           7  N Atime before
         613        1155  stress
         616        1162           8  N Atime before
         619        1166           4  N Atime before
         629        1180  stress
         630        1182           3  N Atime before
         630        1182           7  N Atime before
         630        1182  stress
         631        1185           3  N Atime before
         631        1185           5  N Atime before
         631        1185           6  N Atime before
         631        1185  stress
         631        1186           9  N Atime before
         631        1186  stress
         634        1190           9  N Atime before
         634        1190  stress
         641        1197           7  N Atime before
         644        1200           2  N Atime before
         646        1204           3  N Atime before
         646        1204  stress
         647        1208           5  N Atime before
         647        1208  stress
         649        1211           5  N Atime before
         649        1211  stress
         649        1212  stress
         651        1215           5  N Atime before
         651        1215  stress
         651        1216           3  N Atime before
         651        1216  stress
         653        1219           6  N Atime before
         659        1231           2  N Atime before
         662        1237           4  N Atime before
         662        1237  stress
         663        1238           3  N Atime before
         663        1240           5  N Atime before
         663        1240           6  N Atime before
         663        1240  stress
         665        1245           5  N Atime before
         670        1253  stress
         671        1254           2  N Atime before
         671        1254           3  N Atime before
         671        1254  stress
         672        1256           6  N Atime before
         672        1257           1  N Atime before
         672        1257           2  N Atime before
         672        1257  stress
         674        1258           4  N Atime before
         674        1260           2  N Atime before
         674        1260           5  N Atime before
         674        1262           8  N Atime before
         684        1281           1  N Atime before
         689        1290           5  N Atime before
         689        1290  stress
         690        1291           5  N Atime before
         690        1291  stress
         692        1295           2  N Atime before
         695        1303           9  N Atime before
         695        1303  stress
         698        1314           4  N Atime before
         698        1314           6  N Atime before
         698        1314           7  N Atime before
         698        1314           8  N Atime before
         698        1314  stress
         698        1315           9  N Atime before
         698        1315          10  N Atime before
         698        1315  stress
         698        1316          10  N Atime before
         698        1316          11  N Atime before
         698        1316          12  N Atime before
         698        1316  stress
         698        1317  stress
         698        1318           7  N Atime before
         698        1318           8  N Atime before
         698        1318           9  N Atime before
         698        1318  stress
         700        1320           4  N Atime before
         700        1320           7  N Atime before
         700        1320  stress
         700        1321           5  N Atime before
         700        1321  stress
         704        1328           6  N Atime before
         704        1328           7  N Atime before
         704        1328           8  N Atime before
         704        1328  stress
         705        1329           6  N Atime before
         705        1329  stress
         705        1330           7  N Atime before
         705        1330  stress
         705        1331           6  N Atime before
         705        1331  stress
         705        1332          10  N Atime before
         705        1332  stress
         705        1333           5  N Atime before
         705        1333  stress
         705        1334           4  N Atime before
         705        1334  stress
         706        1335           3  N Atime before
         706        1335  stress
         711        1345           3  N Atime before
         715        1351           6  N Atime before
         715        1351  stress
         715        1352  stress
         723        1360           5  N Atime before
         723        1360  stress
         723        1361           5  N Atime before
         723        1361  stress
         728        1369  stress
         729        1371           2  N Atime before
         729        1371           4  N Atime before
         729        1371  stress
         732        1375           7  N Atime before
         732        1375  stress
         735        1382           2  N Atime before
         743        1395          11  N Atime before
         745        1398           2  N Atime before
         747        1403  stress
         751        1412           3  N Atime before
         751        1412           4  N Atime before
         751        1413           8  N Atime before
         751        1413  stress
         752        1416           2  N Atime before
         755        1420           4  N Atime before
         755        1420  stress
         760        1426           7  N Atime before
         760        1426  stress
         760        1427  stress
         761        1431  stress
         767        1439           6  N Atime before
         767        1439           7  N Atime before
         767        1439  stress
         776        1454           9  N Atime before
         776        1454  stress
         776        1455           6  N Atime before
         776        1455           8  N Atime before
         776        1455  stress
         778        1460           8  N Atime before
         778        1460  stress
         779        1462           2  N Atime before
         779        1462  stress
         781        1468           7  N Atime before
         781        1468  stress
         783        1472  stress
         784        1473           1  N Atime before
         784        1473           4  N Atime before
         784        1473  stress
         784        1476           6  N Atime before
         784        1476  stress
         787        1481           4  N Atime before
         787        1481  stress
         788        1489           5  N Atime before
         788        1489  stress
         789        1490           3  N Atime before
         790        1491           1  N Atime before
         790        1491           2  N Atime before
         790        1491  stress
         792        1494           5  N Atime before
         792        1494           7  N Atime before
         792        1494           8  N Atime before
         792        1494  stress
         795        1505           7  N Atime before
         801        1514           5  N Atime before
         801        1514  stress
         806        1523  stress
         810        1528          11  N Atime before
         810        1528          12  N Atime before
         810        1528  stress
         810        1529           9  N Atime before
         810        1529  stress
         810        1531           5  N Atime before
         810        1531  stress
         812        1534           3  N Atime before
         812        1534  stress
         813        1538           3  N Atime before
         813        1538  stress
         817        1545  stress
         819        1548           2  N Atime before
         819        1548  stress
         833        1569           4  N Atime before
         833        1569  stress
         834        1574           7  N Atime before
         836        1576           7  N Atime before
         839        1583           3  N Atime before
         839        1583           8  N Atime before
         843        1592           4  N Atime before
         843        1592  stress
         849        1605           2  N Atime before
         850        1608           5  N Atime before
         850        1608  stress
         851        1611  stress
         856        1617           8  N Atime before
         856        1618           7  N Atime before
         856        1618           9  N Atime before
         856        1618  stress
         861        1624           7  N Atime before
         861        1624  stress
         862        1626           2  N Atime before
         865        1633           1  N Atime before
         865        1633  stress
         870        1640           3  N Atime before
         874        1647  stress
         875        1648           5  N Atime before
         875        1649          10  N Atime before
         876        1651           8  N Atime before
         877        1653           5  N Atime before
         882        1664           1  N Atime before
         882        1664  stress
         885        1668           1  N Atime before
         885        1668  stress
         885        1669           6  N Atime before
         885        1669           8  N Atime before
         885        1669           9  N Atime before
         885        1669  stress
         886        1670           1  N Atime before
         888        1675           5  N Atime before
         888        1675           6  N Atime before
         888        1675           7  N Atime before
         888        1675  stress
         888        1676  stress
         896        1688           5  N Atime before
         896        1688  stress
         905        1708           3  N Atime before
         905        1708  stress
         906        1712          13  N Atime before
         906        1712          15  N Atime before
         906        1712          16  N Atime before
         906        1712  stress
         908        1714  stress
         909        1716  stress
         911        1720           8  N Atime before
         911        1720  stress
         914        1727           6  N Atime before
         914        1727           7  N Atime before
         914        1727           8  N Atime before
         914        1727  stress
         914        1728           4  N Atime before
         917        1732           6  N Atime before
         917        1732  stress
         920        1738           1  N Atime before
         920       75043           1  N Atime before
         920        1739           1  N Atime before
         920        1740           1  N Atime before
         923        1749           1  N Atime before
         923        1749  stress
         924        1752           6  N Atime before
         928        1759           8  N Atime before
         928        1759  stress
         928        1761           5  N Atime before
         928        1761  stress
         932        1766           5  N Atime before
         932        1766           6  N Atime before
         932        1766           8  N Atime before
         932        1766          11  N Atime before
         932        1766          12  N Atime before
