,orig_zone,dest_zone,orig_node_index,dest_node_index,person_id,origin_arrival_time,dest_arrival_time,dest_expected_arrival_time,value_of_time,start_time,Activity_Time,hh_id,hh_vehicle_id,shared_ride_flag,pickup_trip_flag,transit_utility,car_utility,orig_traveler,dest_traveler,intrasuperzone_flag,seg_index,veh_seg_index
14,20,18,7,25,6351860,781.4999999999999,786.4,736.6,0.0792,731.0,40.39999999999998,1845629.0,0.0,0,1,56.0,[ 1.6  4.5  5.6  4.9  4. ],6351860,6351860,0,7,1845629.0_7_0.0
16,18,20,9,27,6351860,827.9999999999999,828.5999999999999,828.6,0.0792,828.0,14.399999999999977,1845629.0,0.0,0,1,6.0,[ 3.3  0.5  0.7  0.6  0.5],6351860,6351860,0,7,1845629.0_7_0.0
18,20,18,10,28,6351860,842.9999999999998,848.3999999999997,848.4,0.0792,843.0,14.600000000000023,1845629.0,0.0,0,1,54.0,[ 1.6  4.5  5.6  5.4  4. ],6351860,6351860,0,7,1845629.0_7_0.0
20,18,17,11,29,6351860,863.0,864.7,864.7,0.0792,863.0,113.29999999999995,1845629.0,0.0,0,1,17.0,[ 4.1  1.7  1.7  1.7  1.4],6351860,6351860,0,7,1845629.0_7_0.0
21,17,18,29,12,0,864.7,977.9999999999999,978.0,0.01,978.0,0.0,1845629.0,0.0,0,0,0.0,[ 3.   2.1  2.4  2.3  2.1],6351860,6351861,0,8,1845629.0_8_0.0
22,18,10,12,30,6351861,977.9999999999999,991.4,991.4,0.0792,978.0,0.6000000000000227,1845629.0,0.0,0,1,134.0,[  8.8   8.7  11.7  12.5  13.4],6351861,6351861,0,9,1845629.0_9_0.0
24,10,14,13,31,6351861,992.0,1000.2,1000.2,0.0792,992.0,76.79999999999995,1845629.0,0.0,0,1,82.0,[  8.7  11.2   9.4   8.7   8.2],6351861,6351861,0,9,1845629.0_9_0.0
26,14,20,14,32,6351861,1077.0,1082.7,1082.7,0.0792,1077.0,37.299999999999955,1845629.0,0.0,0,1,57.0,[ 4.7  6.3  7.3  6.8  5.7],6351861,6351861,0,9,1845629.0_9_0.0
28,20,12,15,33,6351861,1120.0,1123.4,1123.4,0.0792,1120.0,6.599999999999909,1845629.0,0.0,0,1,34.0,[ 4.9  4.6  2.8  2.6  3.4],6351861,6351861,0,9,1845629.0_9_0.0
30,12,6,16,34,6351861,1129.3999999999999,1136.8,1137.4,0.0792,1130.0,4.599999999999909,1845629.0,0.0,0,1,74.0,[ 7.   6.5  8.   8.2  7.4],6351861,6351861,0,9,1845629.0_9_0.0
32,6,17,18,17,6351861,1137.7,1142.0,1142.0,0.0792,1151.0,0.0,1845629.0,0.0,1,1,56.0,[ 3.7  4.1  4.4  4.2  4.3],6351861,6351860,0,9,1845629.0_9_0.0
